Region,Cluster
AK,4
AL,1
AR,1
AZ,2
CA,2
CO,2
CT,3
DE,3
FL,1
GA,1
HI,1
IA,0
ID,2
IL,1
IN,1
KS,0
KY,1
LA,1
MA,3
MD,3
ME,3
MI,2
MN,0
MO,1
MP,1
MS,1
MT,0
NC,3
ND,0
NE,0
NH,3
NJ,3
NM,2
NV,2
NY,3
OH,3
OK,1
OR,2
PA,3
PR,1
RI,3
SC,3
SD,0
TN,1
TX,1
UT,2
VA,3
VT,3
WA,2
WI,0
WV,3
WY,2
