Region,Cluster
AK,3
AL,4
AR,4
AZ,0
CA,0
CO,0
CT,1
DE,1
FL,4
GA,1
HI,4
IA,2
ID,0
IL,2
IN,1
KS,2
KY,4
LA,4
MA,1
MD,1
ME,1
MI,0
MN,5
MO,2
MP,4
MS,4
MT,5
NC,1
ND,5
NE,5
NH,1
NJ,1
NM,0
NV,0
NY,1
OH,1
OK,2
OR,0
PA,1
PR,4
RI,1
SC,1
SD,5
TN,4
TX,4
UT,0
VA,1
VT,1
WA,0
WI,2
WV,1
WY,0
