Region,Cluster
AK,5
AL,4
AR,1
AZ,2
CA,2
CO,2
CT,0
DE,4
FL,4
GA,4
HI,4
IA,1
ID,2
IL,1
IN,4
KS,1
KY,4
LA,4
MA,0
MD,4
ME,0
MI,0
MN,3
MO,1
MS,4
MT,3
NC,4
ND,3
NE,3
NH,0
NJ,0
NM,2
NV,2
NY,0
OH,4
OK,1
OR,2
PA,0
RI,0
SC,4
SD,3
TN,4
TX,4
UT,2
VA,4
VT,0
WA,0
WI,1
WV,4
WY,3
