Region,Cluster
AK,0
AL,2
AR,2
AZ,3
CA,3
CO,3
CT,0
DE,0
FL,0
GA,0
HI,2
IA,1
ID,3
IL,2
IN,2
KS,1
KY,2
LA,2
MA,0
MD,0
ME,0
MI,3
MN,1
MO,2
MP,2
MS,2
MT,1
NC,0
ND,1
NE,1
NH,0
NJ,0
NM,3
NV,3
NY,0
OH,0
OK,2
OR,3
PA,0
PR,0
RI,0
SC,0
SD,1
TN,2
TX,2
UT,3
VA,0
VT,0
WA,3
WI,1
WV,0
WY,3
