Region,Cluster
AK,0
AL,1
AR,2
AZ,0
CA,0
CO,0
CT,1
DE,1
FL,1
GA,1
HI,1
IA,2
ID,0
IL,2
IN,1
KS,2
KY,1
LA,1
MA,1
MD,1
ME,1
MI,2
MN,3
MO,2
MS,1
MT,3
NC,1
ND,3
NE,3
NH,1
NJ,1
NM,0
NV,0
NY,1
OH,1
OK,2
OR,0
PA,1
RI,1
SC,1
SD,3
TN,1
TX,1
UT,0
VA,1
VT,1
WA,0
WI,2
WV,1
WY,3
