Region,Cluster
AK,3
AL,1
AR,2
AZ,4
CA,4
CO,4
CT,1
DE,1
FL,1
GA,1
HI,1
IA,2
ID,4
IL,2
IN,1
KS,2
KY,1
LA,1
MA,1
MD,1
ME,1
MI,2
MN,0
MO,2
MS,1
MT,0
NC,1
ND,0
NE,0
NH,1
NJ,1
NM,4
NV,4
NY,1
OH,1
OK,2
OR,4
PA,1
RI,1
SC,1
SD,0
TN,1
TX,2
UT,4
VA,1
VT,1
WA,4
WI,0
WV,1
WY,0
