Region,Cluster
AK,5
AL,0
AR,1
AZ,4
CA,4
CO,4
CT,2
DE,0
FL,0
GA,0
HI,0
IA,1
ID,4
IL,1
IN,0
KS,1
KY,0
LA,0
MA,2
MD,0
ME,2
MI,2
MN,3
MO,1
MS,0
MT,3
NC,0
ND,3
NE,3
NH,2
NJ,2
NM,4
NV,4
NY,2
OH,0
OK,1
OR,4
PA,2
RI,2
SC,0
SD,3
TN,0
TX,0
UT,4
VA,0
VT,2
WA,4
WI,3
WV,0
WY,3
