Region,Cluster
AK,0
AL,0
AR,3
AZ,2
CA,2
CO,2
CT,0
DE,0
FL,0
GA,0
HI,0
IA,3
ID,2
IL,3
IN,0
KS,3
KY,0
LA,0
MA,0
MD,0
ME,0
MI,3
MN,1
MO,3
MS,0
MT,1
NC,0
ND,1
NE,1
NH,0
NJ,0
NM,2
NV,2
NY,0
OH,0
OK,3
OR,2
PA,0
RI,0
SC,0
SD,1
TN,0
TX,0
UT,2
VA,0
VT,0
WA,2
WI,3
WV,0
WY,1
