Region,Cluster
AK,5
AL,3
AR,3
AZ,4
CA,4
CO,4
CT,2
DE,7
FL,0
GA,7
HI,0
IA,1
ID,6
IL,3
IN,3
KS,1
KY,3
LA,3
MA,2
MD,7
ME,2
MI,6
MN,1
MO,3
MP,0
MS,3
MT,6
NC,7
ND,1
NE,1
NH,2
NJ,2
NM,4
NV,4
NY,2
OH,7
OK,3
OR,6
PA,2
PR,0
RI,2
SC,7
SD,1
TN,3
TX,3
UT,4
VA,7
VT,2
WA,6
WI,1
WV,7
WY,6
