Region,Cluster
AK,3
AL,1
AR,1
AZ,0
CA,0
CO,0
CT,2
DE,2
FL,4
GA,2
HI,4
IA,5
ID,0
IL,1
IN,1
KS,5
KY,1
LA,1
MA,2
MD,2
ME,2
MI,0
MN,5
MO,1
MP,4
MS,1
MT,5
NC,2
ND,5
NE,5
NH,2
NJ,2
NM,0
NV,0
NY,2
OH,2
OK,1
OR,0
PA,2
PR,4
RI,2
SC,2
SD,5
TN,1
TX,1
UT,0
VA,2
VT,2
WA,0
WI,5
WV,2
WY,0
