Year,Global_Temp
1980,14.081005464480874
1981,14.117616438356166
1982,13.919350684931509
1983,14.112216438356164
1984,13.896994535519125
1985,13.860912328767123
1986,13.948087671232877
1987,14.103098630136985
1988,14.130606557377048
1989,14.015531506849317
1990,14.248380821917808
1991,14.19229589041096
1992,13.954756830601092
1993,14.004506849315067
1994,14.04268493150685
1995,14.216372602739723
1996,14.084756830601094
1997,14.211783561643836
1998,14.39835616438356
1999,14.128873972602738
2000,14.120363387978141
2001,14.286808219178083
2002,14.38418904109589
2003,14.372331506849314
2004,14.304661202185793
2005,14.473216438356163
2006,14.424019178082192
2007,14.417945205479452
2008,14.282221311475409
2009,14.416534246575342
2010,14.509876712328763
2011,14.369972602739724
2012,14.415625683060107
2013,14.446449315068492
2014,14.487000000000002
2015,14.636572602739726
2016,14.81422950819672
2017,14.723364383561645
2018,14.644046575342466
2019,14.779232876712332
2020,14.80536338797814
2021,14.654183561643833
2022,14.680142465753425
