Region,Cluster
AK,4
AL,0
AR,2
AZ,1
CA,1
CO,1
CT,5
DE,0
FL,0
GA,0
HI,0
IA,2
ID,1
IL,2
IN,0
KS,2
KY,0
LA,0
MA,5
MD,0
ME,5
MI,5
MN,3
MO,2
MS,0
MT,3
NC,0
ND,3
NE,3
NH,5
NJ,5
NM,1
NV,1
NY,5
OH,0
OK,2
OR,1
PA,5
RI,5
SC,0
SD,3
TN,0
TX,0
UT,1
VA,0
VT,5
WA,5
WI,2
WV,0
WY,3
