Year,Month,Average_Temperature,Dataset,Global_Temp,Region
1980,Jan,4.803377422327269,era5,14.081005464480874,DE
1980,Jan,4.338513208614403,merra2,14.299730957355443,DE
1981,Jan,1.4303033774456229,era5,14.117616438356166,DE
1981,Jan,1.5666471010454623,merra2,14.296990028690264,DE
1982,Jan,1.8934016612500661,era5,13.919350684931507,DE
1982,Jan,1.7616664894197096,merra2,14.010672395662342,DE
1983,Jan,5.823086096949348,era5,14.112216438356164,DE
1983,Jan,5.347870094984159,merra2,14.225020841353022,DE
1984,Jan,2.539802843801065,era5,13.896994535519125,DE
1984,Jan,1.3510407143323042,merra2,14.043596247128804,DE
1985,Jan,2.3050605560907558,era5,13.860912328767125,DE
1985,Jan,1.9703779816989266,merra2,13.983983169934186,DE
1986,Jan,5.7535224081800544,era5,13.948087671232877,DE
1986,Jan,4.515789418564013,merra2,14.070703745238596,DE
1987,Jan,3.7534086759527843,era5,14.103098630136987,DE
1987,Jan,2.428931079131224,merra2,14.201963471373444,DE
1988,Jan,3.335819561885836,era5,14.130606557377048,DE
1988,Jan,2.3501243378793206,merra2,14.293686397951754,DE
1989,Jan,7.485838616920499,era5,14.015531506849316,DE
1989,Jan,6.822518821679542,merra2,14.15040022877588,DE
1990,Jan,9.800625997098377,era5,14.248380821917808,DE
1990,Jan,8.605719710754354,merra2,14.3480086891158,DE
1991,Jan,7.01199338712081,era5,14.192295890410959,DE
1991,Jan,6.03745886265108,merra2,14.31000400396978,DE
1992,Jan,6.811705655413515,era5,13.954756830601092,DE
1992,Jan,6.542917988842084,merra2,14.070189518651206,DE
1993,Jan,7.512927357991462,era5,14.004506849315069,DE
1993,Jan,6.668760972459214,merra2,14.098399911422591,DE
1994,Jan,2.3704630703716467,era5,14.04268493150685,DE
1994,Jan,1.6904301162809134,merra2,14.162099696352785,DE
1995,Jan,7.228442830471985,era5,14.216372602739725,DE
1995,Jan,6.806207130055828,merra2,14.332907046434332,DE
1996,Jan,4.415103177745775,era5,14.084756830601092,DE
1996,Jan,3.1116152619230286,merra2,14.175889901210118,DE
1997,Jan,5.105983084328063,era5,14.211783561643836,DE
1997,Jan,4.266717457508483,merra2,14.311172158284473,DE
1998,Jan,8.969741752458146,era5,14.39835616438356,DE
1998,Jan,8.63173280922261,merra2,14.517857098502596,DE
1999,Jan,7.701471758202608,era5,14.128873972602738,DE
1999,Jan,7.6630774912939135,merra2,14.270990506407186,DE
2000,Jan,5.385361718144213,era5,14.120363387978141,DE
2000,Jan,4.780325888807192,merra2,14.273807256200836,DE
2001,Jan,4.672153025188768,era5,14.286808219178083,DE
2001,Jan,4.388295921569689,merra2,14.459668837489067,DE
2002,Jan,8.524124944914186,era5,14.38418904109589,DE
2002,Jan,8.771901241448917,merra2,14.568268640983542,DE
2003,Jan,2.31301031988562,era5,14.372331506849315,DE
2003,Jan,2.0492332668225823,merra2,14.58308544839057,DE
2004,Jan,2.1570633354344593,era5,14.304661202185793,DE
2004,Jan,1.8542212431688994,merra2,14.478478870442624,DE
2005,Jan,5.175068761041609,era5,14.473216438356165,DE
2005,Jan,5.22607979086929,merra2,14.663594068384826,DE
2006,Jan,9.392882754035954,era5,14.424019178082192,DE
2006,Jan,9.064687420356256,merra2,14.508014341386511,DE
2007,Jan,8.698025576717278,era5,14.417945205479452,DE
2007,Jan,7.92716181773746,merra2,14.505719825344611,DE
2008,Jan,6.757805010220646,era5,14.282221311475409,DE
2008,Jan,6.279169403795968,merra2,14.364974754123654,DE
2009,Jan,2.790247716486699,era5,14.416534246575342,DE
2009,Jan,2.596379124818093,merra2,14.4512282826897,DE
2010,Jan,4.5311103085314235,era5,14.509876712328765,DE
2010,Jan,3.378761982068087,merra2,14.46147636301327,DE
2011,Jan,2.6999699711560976,era5,14.369972602739725,DE
