region,month,avg_potential_height
OK,Mar,5660.502577212707
OK,Apr,5703.775703754519
OK,May,5780.78900780946
OK,Jun,5862.880081423618
OK,Jul,5908.981357632363
OK,Aug,5904.547390187469
OK,Sep,5863.192462042862
OK,Oct,5788.550582075455
OK,Nov,5714.390562024036
OK,Dec,5658.7293702970865
VT,Jan,5372.86270361502
VT,Feb,5383.581974405021
VT,Mar,5441.1807778235225
VT,Apr,5525.367250915509
VT,May,5642.543833945536
VT,Jun,5722.422766391735
VT,Jul,5775.745590849207
VT,Aug,5782.758459502184
VT,Sep,5747.302047783863
VT,Oct,5636.57314799023
VT,Nov,5533.416260276005
VT,Dec,5437.0243195247685
VA,Jan,5562.561836177356
VA,Feb,5570.4015252274
VA,Mar,5603.618874212963
VA,Apr,5656.098436529277
VA,May,5746.947554456886
VA,Jun,5823.101658096033
VA,Jul,5868.927712388625
VA,Aug,5865.826554749554
VA,Sep,5835.604723098366
VA,Oct,5755.50475188741
VA,Nov,5684.6402085844
VA,Dec,5618.073601071345
WA,Jan,5534.398336856149
WA,Feb,5510.919888385242
WA,Mar,5512.260482853589
WA,Apr,5551.32472279874
WA,May,5623.8528518742805
WA,Jun,5690.48929296518
WA,Jul,5778.165231041524
WA,Aug,5779.399693835418
WA,Sep,5733.320313870836
WA,Oct,5655.405329162934
WA,Nov,5555.555419125981
WA,Dec,5521.305878912265
TN,Jan,5612.161529802649
TN,Feb,5618.523650453246
TN,Mar,5650.05988695771
TN,Apr,5694.96020220931
TN,May,5776.091535457877
TN,Jun,5848.207707212378
TN,Jul,5890.852307990871
TN,Aug,5886.2917999252895
TN,Sep,5852.017750537354
TN,Oct,5781.871055037427
TN,Nov,5715.3484899570685
TN,Dec,5656.412493494175
AR,Jan,5642.473872248269
AR,Feb,5644.122988649347
AR,Mar,5672.023323174386
AR,Apr,5715.352206797107
AR,May,5789.665353954493
AR,Jun,5861.237418055631
AR,Jul,5903.121367076113
AR,Aug,5899.068770013088
AR,Sep,5862.724038529202
AR,Oct,5796.400421948001
AR,Nov,5728.91134752206
AR,Dec,5674.812327191573
NC,Jan,5619.749865441891
NC,Feb,5625.938640846926
NC,Mar,5649.504052299282
NC,Apr,5693.474896558825
NC,May,5773.628207394098
NC,Jun,5842.842389482826
NC,Jul,5885.143486731512
NC,Aug,5881.20351829679
NC,Sep,5852.9959977337285
NC,Oct,5786.932755259875
NC,Nov,5727.158757801466
NC,Dec,5671.751542364238
IA,Jan,5478.512901570183
IA,Feb,5481.633401207889
IA,Mar,5539.272604253547
IA,Apr,5594.6947834013745
IA,May,5697.8416544251295
IA,Jun,5793.8056396907
IA,Jul,5855.69509377501
IA,Aug,5849.438025795377
IA,Sep,5791.151989062804
IA,Oct,5679.972614596429
IA,Nov,5581.983245170081
IA,Dec,5505.53502089112
NV,Jan,5646.171041835551
NV,Feb,5617.145259018728
NV,Mar,5625.526061519159
NV,Apr,5654.531653048557
NV,May,5713.062376468158
NV,Jun,5803.079505998435
NV,Jul,5883.724408395074
NV,Aug,5875.10670352731
NV,Sep,5819.24699227301
NV,Oct,5753.649341025388
NV,Nov,5687.011243876373
NV,Dec,5641.141833535357
MP,Jan,5873.016245150155
MP,Feb,5871.489533902392
MP,Mar,5872.284551850853
MP,Apr,5873.48508622517
MP,May,5873.806537693994
MP,Jun,5874.018631525557
MP,Jul,5865.71053969547
MP,Aug,5863.324835237129
MP,Sep,5863.37435728561
MP,Oct,5864.757530447065
MP,Nov,5873.148582470325
MP,Dec,5876.461021383276
WI,Jan,5401.7624354282
WI,Feb,5409.438129643338
WI,Mar,5481.007941261554
WI,Apr,5548.7610487567445
WI,May,5661.421316458939
WI,Jun,5752.3659284710975
WI,Jul,5811.270621994006
WI,Aug,5808.214511297043
WI,Sep,5747.293804310349
WI,Oct,5627.481738600379
WI,Nov,5522.684056393838
WI,Dec,5438.291852267212
ME,Jan,5340.124967154132
ME,Feb,5350.055010071021
ME,Mar,5409.128672782062
ME,Apr,5499.948706874586
ME,May,5618.854097011237
ME,Jun,5696.222228479129
ME,Jul,5752.019034952901
ME,Aug,5761.827156243303
ME,Sep,5724.40946990276
ME,Oct,5614.092353588454
ME,Nov,5507.849999737461
ME,Dec,5405.8981355053875
FL,Jan,5775.670039112353
FL,Feb,5776.623677318573
FL,Mar,5779.825203539594
FL,Apr,5799.46918570119
FL,May,5836.673469274104
FL,Jun,5879.194143525204
FL,Jul,5904.575952982736
FL,Aug,5901.743459783384
FL,Sep,5880.5373851144595
FL,Oct,5854.0839526086465
FL,Nov,5827.704415569697
FL,Dec,5806.010940791609
CA,Jan,5672.214755370562
CA,Feb,5644.2260957741455
CA,Mar,5649.001375465484
CA,Apr,5677.793335347503
CA,May,5730.828082784112
CA,Jun,5811.554846350449
CA,Jul,5879.288911963528
CA,Aug,5872.106345733322
CA,Sep,5827.108493872711
CA,Oct,5774.01487116095
CA,Nov,5715.783807217516
CA,Dec,5671.927509647939
CT,Jan,5443.405303247708
CT,Feb,5451.245447564215
CT,Mar,5495.931097782267
CT,Apr,5569.668438365602
CT,May,5678.744947031233
CT,Jun,5759.544087588115
CT,Jul,5813.525854595905
CT,Aug,5817.524959957702
CT,Sep,5787.639249734868
CT,Oct,5685.8630464619955
CT,Nov,5593.476524213205
CT,Dec,5505.647296569102
NJ,Jan,5487.325137611879
NJ,Feb,5494.796474379912
NJ,Mar,5535.649022789162
NJ,Apr,5601.564680643484
NJ,May,5704.355563674851
NJ,Jun,5784.993160685471
NJ,Jul,5836.201417028243
NJ,Aug,5837.211863151221
NJ,Sep,5807.259995800719
NJ,Oct,5712.297404983133
NJ,Nov,5627.549914535161
NJ,Dec,5547.856917776536
SD,Jan,5484.89449869008
SD,Feb,5476.523618801088
SD,Mar,5530.03505571984
SD,Apr,5581.884805931876
SD,May,5675.926998166253
SD,Jun,5772.669769924784
SD,Jul,5849.582705129162
SD,Aug,5841.266742210671
SD,Sep,5771.031227088782
SD,Oct,5659.83900685117
SD,Nov,5563.243057731864
SD,Dec,5492.997275942601
