Region,Month,Slope,Intercept,R-Value,P-Value,Std Coef,Std Intercept
WY,Jan,0.340292440651208,-1.4264468430168375e-15,0.3402924406512079,0.0015391990617793466,0.10384093457359492,0.1038409345735949
WY,Feb,0.10919616448419064,-5.864110565377332e-16,0.10919616448419062,0.3227785669493508,0.10977116983791628,0.10977116983791627
WY,Mar,0.4352556672841388,-2.458695894073129e-15,0.43525566728413856,3.508435130995168e-05,0.09942226428386026,0.09942226428386025
WY,Apr,0.1578478056742187,-8.979332124284608e-16,0.15784780567421866,0.15156395842535872,0.1090470960150478,0.10904709601504779
WY,May,0.0783530206477259,3.36666446971161e-16,0.07835302064772592,0.478667492895679,0.11009202382194594,0.11009202382194593
WY,Jun,0.3003622586237146,-1.4683117545381163e-15,0.3003622586237146,0.005502787052671236,0.10533237252797202,0.105332372527972
WY,Jul,0.33281026636907346,-4.7083657161049034e-15,0.3328102663690734,0.001979843114876937,0.10413624557019256,0.10413624557019255
WY,Aug,0.25844739179274995,2.2274304457773884e-15,0.25844739179274995,0.017611011198602897,0.10667965184604891,0.1066796518460489
WY,Sep,0.3308884212216747,-2.4623111022692974e-15,0.3308884212216748,0.0021100018575664946,0.10421090556089745,0.10421090556089743
WY,Oct,-0.10740854889187114,1.468665819369493e-15,-0.10740854889187113,0.3308107160305276,0.10979267621988131,0.1097926762198813
WY,Nov,0.29215657551156643,-1.7634544634903852e-15,0.2921565755115664,0.007004244780647023,0.10561345393007897,0.10561345393007895
WY,Dec,0.10914191659391563,-6.918434388331794e-16,0.10914191659391563,0.32302046225247094,0.10977182776671993,0.10977182776671991
ID,Jan,0.3578432980172674,-2.1592667654116113e-15,0.3578432980172674,0.0008319547197897472,0.10311893287779499,0.10311893287779497
ID,Feb,0.20259944513431943,-1.109681730139603e-15,0.20259944513431938,0.064566306768089,0.10814136326661405,0.10814136326661404
ID,Mar,0.4656787761190643,-2.5044647115842966e-15,0.4656787761190643,8.05532357174222e-06,0.09772680171811536,0.09772680171811535
ID,Apr,0.2714155964031062,-1.2794595298480096e-15,0.27141559640310614,0.01251214449835559,0.10628617456092053,0.10628617456092052
ID,May,0.2614211514348881,-1.7595562946706415e-15,0.26142115143488803,0.01630598276090099,0.10659125150474144,0.10659125150474143
ID,Jun,0.31102116352693043,-1.4346955890397814e-15,0.31102116352693043,0.003981429941427399,0.10495445213243199,0.10495445213243197
ID,Jul,0.37638762451118574,-2.6557682989706837e-15,0.37638762451118574,0.00041766441522436893,0.10231064342236289,0.10231064342236287
ID,Aug,0.39539896328758295,-2.2974305219886093e-15,0.39539896328758284,0.00019726448891932817,0.10143240328891304,0.10143240328891302
ID,Sep,0.30540023210028405,-1.5988958587279523e-15,0.30540023210028405,0.004729179002142834,0.1051555583022932,0.10515555830229319
ID,Oct,0.027163440323317505,-4.835378469146707e-16,0.02716344032331751,0.8062458699865925,0.11039077746858897,0.11039077746858895
ID,Nov,0.250007019365751,-1.563603318089853e-15,0.25000701936575104,0.021815163001747857,0.10692466519777716,0.10692466519777714
ID,Dec,0.09863899143522178,-6.622290755290227e-16,0.09863899143522177,0.3720313326598901,0.10989298282978466,0.10989298282978464
MI,Jan,0.31628727715911165,-1.7833123969967053e-15,0.31628727715911165,0.0033784417226442255,0.10476235350098018,0.10476235350098016
MI,Feb,0.28341698551646266,-1.7555890798823435e-15,0.2834169855164626,0.008989890522791486,0.10590347724091313,0.10590347724091312
MI,Mar,0.3738899205730606,-2.1402279210559168e-15,0.3738899205730606,0.00045938898343160517,0.10242226840174648,0.10242226840174647
MI,Apr,0.23875319683981328,-1.15971850672788e-15,0.2387531968398133,0.02873109884489158,0.10723787730673003,0.10723787730673001
MI,May,0.2870413576490517,1.0757154407952062e-16,0.2870413576490517,0.00811334642220521,0.10578436759189395,0.10578436759189394
MI,Jun,0.286757249886948,-2.067257113137651e-16,0.28675724988694795,0.008179237084096092,0.1057937639153717,0.10579376391537168
MI,Jul,0.27178328479295755,-1.7652542497914915e-15,0.2717832847929575,0.012388598716041614,0.10627471569676705,0.10627471569676704
MI,Aug,0.24473987471703046,-3.4255140923594514e-15,0.2447398747170304,0.02485124943785211,0.10707316815192952,0.10707316815192951
MI,Sep,0.449372130566917,-1.3474058910533292e-16,0.4493721305669171,1.8037249884582146e-05,0.09865341452991667,0.09865341452991666
MI,Oct,-0.07357961487237391,-1.0255095560037455e-15,-0.07357961487237392,0.5059442217708433,0.11013218445185306,0.11013218445185305
MI,Nov,0.2234438662263686,-1.1362877126059647e-15,0.22344386622636855,0.04104047723601441,0.10763946362662251,0.1076394636266225
MI,Dec,0.33047162036199207,-1.793848153208317e-15,0.330471620361992,0.002139226619877469,0.10422703339083925,0.10422703339083923
RI,Jan,0.2754471474325618,-1.3462650826738486e-15,0.2754471474325619,0.011214315670160116,0.10615961687829852,0.1061596168782985
