Year,Global_Temp
1980,14.299730957355445
1981,14.296990028690264
1982,14.010672395662342
1983,14.225020841353022
1984,14.043596247128805
1985,13.983983169934188
1986,14.070703745238598
1987,14.201963471373444
1988,14.293686397951754
1989,14.15040022877588
1990,14.3480086891158
1991,14.31000400396978
1992,14.070189518651208
1993,14.098399911422591
1994,14.162099696352785
1995,14.332907046434332
1996,14.175889901210118
1997,14.31117215828447
1998,14.517857098502597
1999,14.270990506407186
2000,14.273807256200838
2001,14.459668837489067
2002,14.568268640983542
2003,14.58308544839057
2004,14.478478870442622
2005,14.663594068384828
2006,14.508014341386513
2007,14.50571982534461
2008,14.364974754123653
2009,14.4512282826897
2010,14.46147636301327
2011,14.356479019141398
2012,14.398072706162425
2013,14.403480362899733
2014,14.454155426348894
2015,14.59372951735238
2016,14.779528405226538
2017,14.695678066599951
2018,14.600690780154967
2019,14.762257884464791
2020,14.72812203423868
2021,14.618975756365025
2022,14.661914961257732
