Region,Month,Slope,Intercept,Std Coef,Std Intercept,Slope in Original Units,Intercept in Original Units,Std Coef in Original Units,Std Intercept in Original Units,R-Value,P-Value,Scaler X Mean,Scaler X Scale,Scaler Y Mean,Scaler Y Scale
WY,Jan,0.340292440651208,-1.4264468430168375e-15,0.10384093457359492,0.1038409345735949,2.3075950563686702,-8.580426572069099,0.7041673532687672,9.890518370623527,0.3402924406512079,0.0015391990617793466,14.041055571150533,0.3608968657121924,-3.8023615024430417,2.447318023235221
WY,Feb,0.10919616448419064,-5.864110565377332e-16,0.10977116983791628,0.10977116983791627,0.7487442176522968,-3.2103340727469982,0.7526869562617972,10.572009812267742,0.10919616448419062,0.3227785669493508,14.041055571150533,0.3608968657121924,-1.6771046590679832,2.4746239270149797
WY,Mar,0.4352556672841388,-2.458695894073129e-15,0.09942226428386026,0.09942226428386025,3.252944685022292,-3.1815343655832176,0.7430463299721647,10.436600536362937,0.43525566728413856,3.508435130995168e-05,14.041055571150533,0.3608968657121924,2.9299146464115817,2.697213682443099
WY,Apr,0.1578478056742187,-8.979332124284608e-16,0.1090470960150478,0.10904709601504779,1.0111053285019436,6.27759554351162,0.6985089172923888,9.811041716794609,0.15784780567421866,0.15156395842535872,14.041055571150533,0.3608968657121924,8.493945354767495,2.31175050171032
WY,May,0.0783530206477259,3.36666446971161e-16,0.11009202382194594,0.11009202382194593,0.42577444596809394,13.230137258857939,0.5982458629009563,8.402777648956187,0.07835302064772592,0.478667492895679,14.041055571150533,0.3608968657121924,14.330296375940163,1.961132599355506
WY,Jun,0.3003622586237146,-1.4683117545381163e-15,0.10533237252797202,0.105332372527972,1.967868593238554,16.540902323948735,0.6901009091450951,9.69294541673876,0.3003622586237146,0.005502787052671236,14.041055571150533,0.3608968657121924,20.758305488760598,2.3644701923851597
WY,Jul,0.33281026636907346,-4.7083657161049034e-15,0.10413624557019256,0.10413624557019255,1.4179305519711916,21.281621541540318,0.4436701000016743,6.231653958669215,0.3328102663690734,0.001979843114876937,14.041055571150533,0.3608968657121924,25.95462898627789,1.537592868113261
WY,Aug,0.25844739179274995,2.2274304457773884e-15,0.10667965184604891,0.1066796518460489,0.9291329714874282,21.32139692081991,0.38351937401809083,5.386795335807294,0.25844739179274995,0.017611011198602897,14.041055571150533,0.3608968657121924,24.950271111200827,1.2974446169244538
WY,Sep,0.3308884212216747,-2.4623111022692974e-15,0.10421090556089745,0.10421090556089743,1.8830320862428302,14.605128145473177,0.5930472821716771,8.329759980691069,0.3308884212216748,0.0021100018575664946,14.041055571150533,0.3608968657121924,19.251150855696977,2.053805253902347
WY,Oct,-0.10740854889187114,1.468665819369493e-15,0.10979267621988131,0.1097926762198813,-0.6750014093519291,12.767634626153395,0.6899842884903615,9.691307398840484,-0.10740854889187113,0.3308107160305276,14.041055571150533,0.3608968657121924,11.259505222345993,2.268030761980253
WY,Nov,0.29215657551156643,-1.7634544634903852e-15,0.10561345393007897,0.10561345393007895,2.0346019336247316,-1.8410621248497323,0.7355006034235847,10.33061557880705,0.2921565755115664,0.007004244780647023,14.041055571150533,0.3608968657121924,2.2611245873852086,2.5133148536239664
WY,Dec,0.10914191659391563,-6.918434388331794e-16,0.10977182776671993,0.10977182776671991,0.623925876615864,-4.485931733956232,0.6275268568162058,8.814049496315397,0.10914191659391563,0.32302046225247094,14.041055571150533,0.3608968657121924,-2.953464017919186,2.0631202047257267
ID,Jan,0.3578432980172674,-2.1592667654116113e-15,0.10311893287779499,0.10311893287779497,2.434289197680253,-8.06639821031454,0.7014838779197108,9.852827100055878,0.3578432980172674,0.0008319547197897472,14.041055571150533,0.3608968657121924,-3.041900577090308,2.45506160531043
ID,Feb,0.20259944513431943,-1.109681730139603e-15,0.10814136326661405,0.10814136326661404,1.3059547970757341,-2.9175639888509703,0.6970785730766094,9.790951541246406,0.20259944513431938,0.064566306768089,14.041055571150533,0.3608968657121924,-0.07285392103572731,2.3263390120045107
ID,Mar,0.4656787761190643,-2.5044647115842966e-15,0.09772680171811536,0.09772680171811535,2.95400422648416,-2.500757794260971,0.6199238619418667,8.707260165444918,0.4656787761190643,8.05532357174222e-06,14.041055571150533,0.3608968657121924,4.037863779532178,2.289326723290747
ID,Apr,0.2714155964031062,-1.2794595298480096e-15,0.10628617456092053,0.10628617456092052,1.5487117157964374,5.1891615745250945,0.6064745208127585,8.518354850688787,0.27141559640310614,0.01251214449835559,14.041055571150533,0.3608968657121924,9.000123046498073,2.0592965604399933
ID,May,0.2614211514348881,-1.7595562946706415e-15,0.10659125150474144,0.10659125150474143,1.4350415308530495,10.870886486658847,0.5851204919545497,8.218422719884185,0.26142115143488803,0.01630598276090099,14.041055571150533,0.3608968657121924,14.541515401430269,1.9811020944901827
ID,Jun,0.31102116352693043,-1.4346955890397814e-15,0.10495445213243199,0.10495445213243197,1.94706917109969,15.866367643923452,0.6570407486081636,9.228592555720109,0.31102116352693043,0.003981429941427399,14.041055571150533,0.3608968657121924,20.23343308480898,2.259303364460183
ID,Jul,0.37638762451118574,-2.6557682989706837e-15,0.10231064342236289,0.10231064342236287,1.9835156522319952,21.304651250353952,0.5391642801267295,7.572935883243184,0.37638762451118574,0.00041766441522436893,14.041055571150533,0.3608968657121924,26.589530802408852,1.9018812930187832
ID,Aug,0.39539896328758295,-2.2974305219886093e-15,0.10143240328891304,0.10143240328891302,1.9218729435553221,20.336673830094302,0.4930215037993645,6.924828618941788,0.39539896328758284,0.00019726448891932817,14.041055571150533,0.3608968657121924,25.888492646390564,1.7541723323177028
