Region,Month,Slope,Intercept,Std Coef,Std Intercept,Slope in Original Units,Intercept in Original Units,Std Coef in Original Units,Std Intercept in Original Units,R-Value,P-Value,Scaler X Mean,Scaler X Scale,Scaler Y Mean,Scaler Y Scale
WY,Jan,0.17905594635676636,6.533901841803055e-16,0.15364982106727915,0.15364982106727915,1.3066433911551543,-5.3788627771680915,1.1212446575201134,16.042125901866033,0.17905594635676636,0.2506122203454261,14.305035770328166,0.26156118826349667,-2.8174610596445877,1.908717386834062
WY,Feb,-0.049074753698290154,-2.6518490184241803e-16,0.15598558943364682,0.15598558943364682,-0.44467587109267226,-0.5493734190361812,1.4134157103620382,20.22234186377516,-0.049074753698290174,0.7546526659838652,14.305035770328166,0.26156118826349667,-1.2513895261102663,2.370056708795204
WY,Mar,0.060371876122879864,2.5686117200305074e-16,0.15588889387476468,0.15588889387476468,0.4730969916427652,3.583739504722036,1.2216046851444344,17.478019654283067,0.06037187612287988,0.7005557182334643,14.305035770328166,0.26156118826349667,4.4473613521816535,2.049692990260916
WY,Apr,-0.10120353735418298,-6.583882438809846e-16,0.15537192545685574,0.15537192545685574,-0.7783994984867,10.62019305184338,1.1950316364068339,17.097827703680746,-0.10120353735418301,0.5184466348801184,14.305035770328166,0.26156118826349667,9.172472829908049,2.0117784722815903
WY,May,-0.2416105607671265,-1.69286833926192e-15,0.1515468483410082,0.1515468483410082,-1.790144530317854,18.047408244507206,1.1228431438725297,16.064996128400345,-0.24161056076712656,0.11855059949558441,14.305035770328166,0.26156118826349667,14.591160530244414,1.937963013813114
WY,Jun,0.2406145227652164,9.197049713918978e-16,0.15158549478795438,0.15158549478795438,2.0652946391290175,18.007776829944365,1.3011214209242217,18.61569953362901,0.24061452276521644,0.12012363130206076,14.305035770328166,0.26156118826349667,21.449776184961227,2.245088591148446
WY,Jul,0.43290340438354247,6.566704346214566e-15,0.14078132519526546,0.14078132519526546,2.93311288718844,20.07384835843274,0.9538560219772618,13.647225245787034,0.4329034043835426,0.0037375633659706173,14.305035770328166,0.26156118826349667,26.266547043236155,1.7721932521562536
WY,Aug,0.1832588263422407,3.1654191788509083e-15,0.1535289122344526,0.1535289122344526,0.9068223799713536,22.626813233392532,0.7597094031741528,10.869486701953484,0.18325882634224072,0.23947839477381258,14.305035770328166,0.26156118826349667,25.248337299446643,1.2942871237551288
WY,Sep,0.5273685529886943,8.779274848790683e-16,0.13269094932270709,0.13269094932270709,3.7218827991804364,12.011533387861407,0.9364611505413252,13.398349395409069,0.5273685529886946,0.0002793386985775441,14.305035770328166,0.26156118826349667,19.555559402510884,1.8459577879911506
WY,Oct,-0.011248585405599053,-6.391848655567562e-16,0.15616388119039598,0.15616388119039598,-0.09029465075718206,11.15696220920149,1.253558790241672,17.935200675047174,-0.011248585405599055,0.9429277566320715,14.305035770328166,0.26156118826349667,10.996050792608804,2.099604109698112
WY,Nov,0.3278836478454771,1.666293222940494e-15,0.14754018166831892,0.14754018166831892,3.216228678777792,-1.9969770128232436,1.4472297312532125,20.70613349368071,0.32788364784547713,0.031836985512791516,14.305035770328166,0.26156118826349667,2.69341029811199,2.565668036439285
WY,Dec,0.10553364686441596,5.884582394187129e-16,0.15530164585212214,0.15530164585212214,0.8245550153219612,-4.453318491043271,1.2134021213124597,17.360662072395755,0.10553364686441599,0.5006146789387739,14.305035770328166,0.26156118826349667,-2.94365589767462,2.043628700459118
ID,Jan,0.2754635497906945,1.0522522621128161e-15,0.1501316359583465,0.1501316359583465,2.047725375678647,-6.153386473005687,1.1160400745494217,15.967661711804956,0.2754635497906946,0.07379601237526065,14.305035770328166,0.26156118826349667,-2.2128705398282293,1.9443787858930568
ID,Feb,0.13821054857568021,6.368262062292375e-16,0.1546749419425681,0.1546749419425681,1.1499945798780102,-1.6494141005577,1.2869881981511684,18.413489482857486,0.13821054857568024,0.37677535128078143,14.305035770328166,0.26156118826349667,0.32769274065408394,2.176345813755067
ID,Mar,0.19036925521448594,8.15871914038856e-16,0.15331774328681913,0.15331774328681913,1.2969707011772122,2.5270006348153276,1.0445416765935978,14.944703614215559,0.190369255214486,0.22141675941438366,14.305035770328166,0.26156118826349667,5.250239640229281,1.7819957185872217
ID,Apr,0.03481678798195924,7.788216800958407e-16,0.15607907558659592,0.15607907558659592,0.25520826512631295,9.183449645533765,1.1440650448172764,16.368626923471897,0.03481678798195924,0.8245875591479219,14.305035770328166,0.26156118826349667,9.681505043023623,1.917252594228181
ID,May,0.01318243997071553,1.4483892190639213e-16,0.1561601916167059,0.1561601916167059,0.0915244797339314,14.784440199412824,1.0842059834613653,15.512197782696415,0.01318243997071553,0.933136430631014,14.305035770328166,0.26156118826349667,14.973015474734114,1.8159955006497948
ID,Jun,0.20095575040372957,1.252479029373743e-15,0.15298786707669002,0.15298786707669002,1.6286949956066454,17.965579341002098,1.2399275611458953,17.740172862085036,0.20095575040372962,0.19630424317037884,14.305035770328166,0.26156118826349667,20.84025853878059,2.1198865795769652
ID,Jul,0.4882023860296569,3.0632704684526254e-15,0.1362975967680827,0.1362975967680827,4.378305333968631,19.833748421731784,1.222346534989182,17.488633616659527,0.488202386029657,0.0008963288881204739,14.305035770328166,0.26156118826349667,26.817501017045583,2.3457377073607204
ID,Aug,0.40745152203618346,4.86128290666558e-15,0.14262207070935526,0.14262207070935526,2.5786390768687846,20.52872822437574,0.9026125191954167,12.914062578954676,0.40745152203618346,0.006689952678664806,14.305035770328166,0.26156118826349667,26.357336821778,1.6553426961762323
