Region,Month,Slope_5th,Slope_50th,Slope_95th,Intercept_5th,Intercept_50th,Intercept_95th
AK,Apr,1.5948454172346265,4.004444491579321,6.287769951707192,-9.421326768175588,-8.856354198215804,-8.292762826949144
AK,Aug,0.6191692541623054,1.3995705362541586,2.055107599765908,6.453804278884333,6.696674193604183,6.950933251765073
AK,Dec,-1.5351888670415652,1.5572569994083616,4.826580320691706,-19.383028952494367,-18.68605909951858,-18.004390752155846
AK,Feb,-0.22525479510237867,3.1499878550316107,6.91866502454772,-19.68538515505262,-18.823527620317144,-17.94036455301942
AK,Jan,-2.4314818009954156,1.6837526139109953,5.624445273873219,-21.32477241467554,-20.405187767360697,-19.331534123299846
AK,Jul,0.3359850363603422,1.0438252902667826,1.8453758724293625,8.41860990287629,8.624109761631468,8.83095099247457
AK,Jun,0.9955130660156896,1.6066141269109293,2.2085545288345134,6.0624713790246725,6.232971150511938,6.4194933404523615
AK,Mar,-2.406161556204468,0.5163663007877999,3.5808362286024296,-17.099432941858094,-16.394352980493316,-15.699856134582475
AK,May,2.315068464403899,3.525689977310175,4.539883262407902,-0.7043479037739435,-0.3211825189780805,0.023295310455199957
AK,Nov,1.5899449051856382,3.785392289058784,6.045711121077574,-16.203870000740668,-15.496453227435218,-14.755387340269685
AK,Oct,4.756073263541272,6.5124354416003465,8.221234376764093,-7.25444712190487,-6.702062435945731,-6.158330369116027
AK,Sep,1.4518734336078711,2.697687997611436,4.409013815704373,1.363793800214031,1.7540916315831887,2.1007256251181388
AL,Apr,0.7223228444941013,1.9191828783241138,3.164956936415921,11.634032876394238,11.981115832708534,12.354023908464482
AL,Aug,0.8807048163777217,1.4385192113904777,2.0016043082256068,22.01255078505719,22.220323542170355,22.413725417493776
AL,Dec,0.10654226693380262,2.4987075558172407,5.242630750697118,4.037850141078379,4.628023922677064,5.219448312000776
AL,Feb,-0.6032605100548551,1.6848564927307883,3.741475888579967,4.315798860908797,4.80986167757654,5.289679837790967
AL,Jan,-0.42109585576649994,1.82690110775621,3.9064418717797813,2.3576363463020984,2.9240390918189343,3.4502934891540633
AL,Jul,0.38411817412919197,0.9476847552710845,1.4209302911041446,22.577386439236303,22.741024056789893,22.9016116429593
AL,Jun,1.024390996130979,1.6000487004212938,2.2158589441322607,20.970285682826145,21.171917547418268,21.394545805881833
AL,Mar,0.4535163971110356,2.330572234896242,4.147171007886636,7.825908487799216,8.314304790730652,8.771448654114783
AL,May,0.4344482527453475,1.475214040258865,2.554405725337869,16.740411867696103,17.044699289469953,17.383033185001228
AL,Nov,-2.8591344146441284,-0.5204575579147909,1.435543766722512,7.405567694169248,7.817724820060835,8.297422776009084
AL,Oct,-0.2460447392565272,1.655023282297932,3.6212042916847063,12.566702036692297,13.04053346381371,13.505770306566399
AL,Sep,0.9373879460165224,2.012841840749507,3.010708335549772,18.898490336088514,19.167993839315077,19.422028806121634
AR,Apr,-0.43329078271540883,1.1404866663448392,2.497409228839064,10.45993199832502,10.865170590358634,11.311415698898568
AR,Aug,0.029886816805499213,1.1507788816188271,2.127178678983926,21.602483780686313,21.943090746999744,22.215931941857857
AR,Dec,-0.06788971131471999,2.3827867096485953,4.894617972809942,1.2286042248110023,1.7960873385953726,2.331309874108967
AR,Feb,-1.9217914454883551,0.5255103240639032,2.773801103421412,1.435215337406212,1.9790657384072219,2.5673004035714753
AR,Jan,0.3679367644683058,2.259294807242389,4.05350662542536,-0.32210419195973,0.15664557745310848,0.6233119033689608
AR,Jul,0.10088462146445439,1.0191887067196115,1.9446110205711653,22.282927934476994,22.551670084510548,22.817366208367485
AR,Jun,0.8624122030123962,1.720206328073362,2.6158817133307983,20.360009973565756,20.592568314212627,20.878125783606865
AR,Mar,-0.007924975938898193,1.673024845525471,3.3645686378343322,5.909656926573219,6.336961850278643,6.84350636745153
AR,May,-0.16679232406344902,1.0636540430499255,2.3665503712317064,15.850718253277147,16.14551721373808,16.519918376126004
AR,Nov,-1.5579178539806653,0.22468867483907573,1.928924214596753,5.6360831872102075,6.070507101592672,6.504100374302445
AR,Oct,-0.5464653875294798,1.0607630616385701,2.474296713913563,11.348066062482179,11.724694072350648,12.10093466873189
AR,Sep,1.1003629351198818,2.3142571072082725,3.7594875698980856,17.68255360754757,17.981927446222542,18.30210414451391
AZ,Apr,-0.176307266604619,1.1110448193489337,2.428626273423264,7.699202573568883,8.130204025102255,8.54390656582557
AZ,Aug,0.40675404506108,1.2732782098172515,2.0253213997414847,20.45402607357634,20.634525768592567,20.83140356192518
AZ,Dec,0.38628805678591305,1.4115554533277956,2.3904276094743584,0.5295878110801349,0.8215938455897434,1.1524151090658254
