Region,Month,Slope_5th,Slope_50th,Slope_95th,Intercept_5th,Intercept_50th,Intercept_95th
AK,Apr,1.7545811780909353,4.080918018563164,6.116840826661136,-6.050338838226442,-5.519848092235275,-5.011245070422322
AK,Aug,0.42802221283732217,1.2251008538763042,2.086567309254438,9.31983293999408,9.609002003109186,9.856170491328811
AK,Dec,-1.4920686019607377,1.3206225410355596,4.372733610570403,-16.842081247037445,-16.161461724719686,-15.494804056981984
AK,Feb,0.17281930473473592,3.3913566462297906,6.823846710061372,-17.009418233226786,-16.176352800737263,-15.210966120126812
AK,Jan,-2.576627503469071,1.3757713395150177,5.248116344395193,-18.982528255564198,-18.011471698793372,-16.96542028359702
AK,Jul,0.025689384120263017,0.8320859876783654,1.6795829765420152,11.7395970441211,11.951084316293262,12.19661620515691
AK,Jun,0.9206980167467397,1.6302453880483798,2.464793395936942,9.671446269920908,9.902278834738215,10.133010128871978
AK,Mar,-2.3762546439576293,0.9697582339294473,3.4499240673118297,-13.89978477317678,-13.25568892706174,-12.622939764917977
AK,May,2.3631086509528325,3.6756476090299044,4.896111403108138,2.826047460769866,3.213917910391182,3.597360103726264
AK,Nov,1.4959593235973747,3.662365174432531,5.9176705300443775,-13.925333234914506,-13.229827374330215,-12.560978982145715
AK,Oct,4.547075421580363,6.033315505780711,7.6605544130244985,-5.036645557094074,-4.577242751128377,-4.100691390391157
AK,Sep,1.114417814489305,2.5656274856023016,4.163862807939478,3.801349027620747,4.186566752677574,4.5435115652964075
AL,Apr,0.5438569653089411,1.5821503691094623,2.7398977925153463,16.865100973315723,17.20345486788525,17.561639251198052
AL,Aug,0.2978430303457764,1.0476051638461894,1.7060306360187205,26.397307900772486,26.656190374231134,26.924805340063365
AL,Dec,0.28538149563819043,2.6806786049671647,5.3377934309663,8.03525560292623,8.61727803428193,9.132501352922384
AL,Feb,-0.6128130093857923,1.6463700973873858,3.6237331310755465,8.795156437912782,9.26616947847939,9.722244334192444
AL,Jan,0.08137241708600858,2.11660433505687,4.048138375001706,6.506489786079883,7.071530904168595,7.536299117265523
AL,Jul,-0.2457621562281964,0.702918358783049,1.5448127401098017,26.802037069487326,27.019286971855784,27.23204132349326
AL,Jun,0.42507272080720726,1.205789206186697,2.0937547699218486,25.404717125092475,25.64143807260757,25.8939894642598
AL,Mar,0.5082698380965212,2.153890758694979,3.7608730946113735,12.818962443706791,13.238580871551239,13.647595505234435
AL,May,0.3622081952738689,1.3189190832339404,2.4061213779435304,21.612744309640785,21.869853414957092,22.141170060041432
AL,Nov,-1.744985174082673,0.2449930573149704,1.994044022424398,12.062108834577257,12.502950379052388,12.991363203116553
AL,Oct,0.42365855449066886,2.090893592907632,3.585847089423582,17.74656482916395,18.152736965811673,18.471489652637654
AL,Sep,1.0160473534606091,2.1731811715138214,3.418377657995012,23.619059037749235,23.875752313291848,24.168631368281172
AR,Apr,-0.6253984925799386,0.9101674381654095,2.185287866688593,15.589263754442506,16.009199219788506,16.463870092677755
AR,Aug,-0.9198685655335568,0.3855643584818404,1.7654306726510949,26.76808660535314,27.165026890140467,27.567410803118552
AR,Dec,0.31249801460794274,2.6896692872948886,5.361774063282466,5.055255294375358,5.588371782371678,6.154754835176423
AR,Feb,-2.1807041856495406,0.5975940396488747,2.733117942397199,5.713960655776483,6.319702152989047,6.851961696394385
AR,Jan,0.7109107690416143,2.4410025274066447,4.425975801085698,3.568132976420535,4.0668776035296315,4.512447821186125
AR,Jul,-0.4573386143676312,0.555593001002133,1.8209455002565007,27.290991742763605,27.60642950086693,27.930123575992933
AR,Jun,0.617841981808968,1.6609648994783757,2.85060618722489,25.109152769901552,25.382956808614676,25.671254804230045
AR,Mar,0.06368885597386814,1.693803172577503,3.27276194858787,10.754205722578995,11.180839362658059,11.649182776416886
AR,May,-0.29606112502495563,0.7874390346246833,1.9366733414161932,20.51271669237222,20.805749194576045,21.123270819290525
AR,Nov,-0.6155073880815561,1.032380123590456,2.8069221971561866,10.069870022113845,10.49054031650206,10.918980294191089
AR,Oct,0.08329965247377565,1.2948525410933902,2.5887075162293143,16.512879769254845,16.79541431373535,17.116973644391333
AR,Sep,1.197844877026459,2.4795275024815124,3.6217595006900196,22.94900881569793,23.24285654808805,23.60236182643662
AZ,Apr,-0.064319433022214,1.3305690111799386,2.6847087974655808,14.905881826826967,15.275611725718123,15.748426528476742
AZ,Aug,0.6947242253255147,1.667400634655898,2.896452608980829,26.58527754554689,26.82003595532374,27.080500256057697
AZ,Dec,0.3195730627210063,1.4388960217289093,2.447679464965255,5.207829549746013,5.606391092985493,5.962322586073971
AZ,Feb,-0.5592645362452822,0.982574809598904,2.3924047208209736,7.260145745094507,7.660897180411485,8.024559013096118
AZ,Jan,-0.046886529572377385,1.2004421484713967,2.5785866969815134,5.366079761507044,5.726107575751531,6.08249410193095
AZ,Jul,1.2628542034210144,2.0973545590438736,2.803032473145727,27.700023445888363,27.88718851974159,28.09556830772402
AZ,Jun,1.5248394895143202,2.6321316241730726,3.654801866086313,25.643335963500903,26.009462487943267,26.32044116859565
AZ,Mar,0.6709390191697886,2.017557583886548,3.397873268235818,10.701476827359235,11.102711776195349,11.519209026679826
AZ,May,-1.4778720549581332,0.42959896146172294,2.2835543939106526,19.756025082954842,20.21549338706497,20.648749055709168
AZ,Nov,1.7040176128608426,3.316056199420475,4.677952629461246,10.077373585917027,10.466657457667788,10.868788305332723
AZ,Oct,0.7623709066393753,2.194272178948239,3.51051406075166,16.815709980891068,17.160383091899632,17.510951209939545
AZ,Sep,1.0704190953667982,2.2503107175649344,3.3865072849619686,23.388142211000574,23.656608529423593,23.910550988526058
CA,Apr,-0.5339174570601751,0.8831736755527111,2.2073370287215837,11.965665424057997,12.370847529475526,12.746828224639973
CA,Aug,1.1372200786382356,2.0549963814037078,2.8149754884129963,23.86446873146233,24.09573578491767,24.314330186148986
CA,Dec,-0.028907388671947077,0.9005148151873906,1.8822487499302532,5.5657374705085,5.853292810684971,6.155084276839913
CA,Feb,-0.4057688882363307,1.1182972623002796,2.568470733171479,7.020922707507404,7.383792705304035,7.749510011449399
CA,Jan,0.4922317931826425,1.7266930142199985,3.123450571613689,5.7994305875239185,6.147522548587999,6.504741434125932
CA,Jul,1.359474541514109,2.3975067145940896,3.4909581279876223,24.257916878829022,24.527239088974603,24.775613958540696
CA,Jun,0.8729617401900771,2.1185409418497545,3.350791834591131,20.585445534672637,21.00673061325314,21.384140011725858
CA,Mar,-0.4722337142238357,1.0716817217977999,2.5109355544550875,9.162389129751784,9.55197024553885,9.954383964662057
CA,May,-1.3488053389529056,0.24120047942785083,1.449073465490447,15.955700538631692,16.385352855268803,16.84911577905816
