Region,Month,Slope_5th,Slope_50th,Slope_95th,Intercept_5th,Intercept_50th,Intercept_95th
AK,Apr,1.9040157414195393,3.861966616408742,5.631427896655847,-2.217065698653992,-1.7519109492904494,-1.3095141709845575
AK,Aug,0.06163567793984559,1.046132616499091,1.9759138429077157,12.90105539032516,13.202700462624886,13.493250262753616
AK,Dec,-1.1825276194983487,1.1896151553439134,4.356427299675239,-14.290789344157753,-13.548347727209947,-12.877269629162104
AK,Feb,0.08771405509127961,3.211262461258105,6.767850485353144,-13.412337064708632,-12.614944560136744,-11.8279981104836
AK,Jan,-2.9457869203646854,1.2936973465432122,5.026638021286786,-16.152355026855247,-15.165164910267425,-14.231950246542706
AK,Jul,-0.3195571820665322,0.709952496545255,1.658057499980465,15.289640061330486,15.573709323824556,15.847016014594844
AK,Jun,0.6733084906395812,1.7056606341039768,2.5713473926101664,13.363722850775607,13.609403572247679,13.86918737377035
AK,Mar,-1.5302183336917417,0.9642708981619261,3.351588559424281,-9.485333867927356,-8.833097021387143,-8.17105722605106
AK,May,2.529117247507325,3.9880627345164745,5.136050451473703,6.269037480812776,6.731533102830893,7.081884271083841
AK,Nov,1.5486213252281362,3.503974269393744,5.444674772722969,-11.200014352714357,-10.558179039733322,-9.928998087030758
AK,Oct,4.17689171602693,5.601059051807843,7.028220634160363,-1.9800485299909336,-1.5279301756728993,-1.0536573086957877
AK,Sep,1.0575248138621705,2.4492133147856276,4.012684975735378,7.325398891637259,7.720297228998818,8.062483158099711
AL,Apr,0.20376718196592036,1.4585603736854036,2.616723386714145,22.933945423321642,23.268765632610805,23.654972185327498
AL,Aug,-0.44378914530507607,0.6791360953166778,1.704583887725318,31.917241611800147,32.2521962105573,32.63285110599118
AL,Dec,0.3949820046868843,2.761551750636121,5.114976302191316,13.4814353463807,13.999590529267188,14.505225505131715
AL,Feb,-0.6482451159003035,1.7379164043806923,3.625114870625788,14.2994611296456,14.816052354330502,15.332113619413665
AL,Jan,0.1813963524955897,2.0571153649553287,4.1109147888149495,11.870404935119995,12.385795760132932,12.851747951966779
AL,Jul,-0.7536304325783326,0.4394935435164988,1.5064223282850595,31.99907812897402,32.32082801031321,32.641351863813526
AL,Jun,-0.2698362533918331,0.7886009644895894,2.1985924174368203,30.788701221774655,31.120077646589003,31.454963977267315
AL,Mar,0.39243165544542497,1.8812922863275068,3.281560263123623,18.77619341006313,19.210078917117563,19.65826083886522
AL,May,0.09924927201541582,1.0986398570911908,2.0308347586539526,27.17800385117152,27.44044922390298,27.726319432734773
AL,Nov,-0.6455599754617133,1.1387056002100615,2.766049553152653,18.278135793549417,18.68875894791507,19.13357703486846
AL,Oct,0.8550161147156675,2.12315209913843,3.5269492863625818,24.18673845413029,24.511039623562333,24.87579127962086
AL,Sep,0.5753491922728116,2.1735982144863675,3.519580228743341,29.360473887704785,29.728779018476082,30.111570884531254
AR,Apr,-0.5914266470856213,0.6724079043339644,1.9893775332633175,21.517418953122927,21.87070027591865,22.21769098348161
AR,Aug,-1.9054313977293913,-0.3668607107603822,1.174849831321233,32.42202154419313,32.89564049137747,33.40116582520965
AR,Dec,0.8615147234353289,3.1067312507770284,5.7115277823117525,10.119418323517113,10.704906616266186,11.331484797251676
AR,Feb,-2.554396938328453,0.3623230564076909,2.961818250523267,11.022862326301402,11.71953468085442,12.34315577541388
AR,Jan,0.8074967367229978,2.4506148451320824,4.305218509432988,8.647696259598547,9.187919607788885,9.726185909495976
AR,Jul,-1.3596585763756732,0.108855553384783,1.583069842700136,32.488193119926876,32.90206039906019,33.371297454200274
AR,Jun,0.35809813600336154,1.480289904421449,2.9630758663933747,30.304415132025834,30.661257051970942,30.995941937671883
AR,Mar,-0.4069181887233737,1.307135481192284,2.8856194922598486,16.57353284050213,17.04290579489531,17.51299026364885
AR,May,-0.6312246600598749,0.4648540665570525,1.7165154652855015,25.75322479676222,26.11406893077278,26.43939300107706
AR,Nov,-0.1714419689893793,1.9425974232802719,3.7017389669421186,15.630776301477084,16.130460473375653,16.59546834302968
AR,Oct,-0.10314110699627164,1.3662556541298159,2.8920761050523285,22.613205088383157,22.959556173171457,23.32142789145968
AR,Sep,0.5332017923110429,2.1977122608010466,3.5415719413356372,28.74240065220669,29.17268620891994,29.649008215621258
AZ,Apr,-0.26635741009090963,1.3910583600974258,3.139435816029248,22.263186733873564,22.775129681113636,23.224577676352975
AZ,Aug,0.5018941457433999,1.989450853490011,3.3994996002760707,32.67804671393495,32.99978369017687,33.347101026195894
AZ,Dec,-0.2897309437810133,1.3241352358003105,2.6246852645570704,11.40848664204234,11.732854670528962,12.152761541648394
AZ,Feb,-0.9090118871610672,1.2199114100653539,3.10064494434288,13.87857992070427,14.403344121325006,14.898023367610165
AZ,Jan,-0.23844861102352208,1.331916679109447,3.14040351573132,11.664594193057303,12.110656723284574,12.575442877773522
AZ,Jul,0.7883260084444593,1.7512235924066655,2.783296289103317,34.048106863487455,34.291094920396326,34.54771217132397
AZ,Jun,1.3720298497858818,2.515947352661481,3.7194792317839886,33.149892400635444,33.54745827337189,33.86414286237055
AZ,Mar,0.5265774737032974,2.1239738790699545,3.8191467977955456,17.84151854846757,18.353509174703802,18.81269283071949
AZ,May,-1.532681274231671,0.4030402552357195,2.358441920112614,27.12484554321607,27.620312730167377,28.096889146131694
AZ,Nov,2.0472282491156406,3.6651810339830684,5.557730511147793,16.683132965912076,17.134365046932096,17.583866262359855
AZ,Oct,0.6113270928597161,2.3790594056100183,4.035826243355794,23.855462124095883,24.250170229600382,24.635450393740015
AZ,Sep,0.9673569984160143,2.264747792082744,3.598514923415075,30.109616303863458,30.391183932714704,30.662710889490107
CA,Apr,-0.8368708438022407,0.8987174767007609,2.6998562550938003,18.298880480287362,18.8283915935014,19.33060046117415
CA,Aug,1.2884495000845784,2.024125366358435,2.7676589184564024,31.394907220948173,31.706029647547467,31.997937326177613
CA,Dec,-0.6187572179939882,0.7574398075634234,2.325892241968157,10.299623165771282,10.603290202886573,10.940394345585371
CA,Feb,-0.25214732495007036,1.9779990242380574,3.923927091760719,12.293712173381325,12.772400057680716,13.283088078869186
CA,Jan,0.14977336597930335,1.6749819453419945,3.4453753030684204,10.747989765933397,11.131211958890027,11.554935509479602
CA,Jul,1.3182573649448563,2.3631121663128134,3.5382550725345583,31.704355062865737,32.011883114317584,32.35043380801047
CA,Jun,0.6949573069062367,2.2791703517540283,3.673913891870311,27.775247078704467,28.22222348381942,28.703931450632457
CA,Mar,-0.268009691070355,1.529877562981452,3.4769438152058423,14.796366426408573,15.35432888444413,15.909774465937273
CA,May,-1.6861943795708214,-0.07468868756981704,1.7149841005824615,22.637910533939937,23.12760028104962,23.649808045357403
CA,Nov,0.9373685813278233,2.812027331699399,4.52162200468709,15.039209887811243,15.486467367596255,15.91288549077135
CA,Oct,0.1526872759745974,1.8499658146391424,3.536323651346828,22.385613856444223,22.806530516252863,23.28691734696994
CA,Sep,1.020472110013224,2.551621743639758,4.282387169602754,28.16694483280433,28.541215191599328,28.88693616429379
CO,Apr,-0.21397490086109033,1.3900697420333428,3.115334462872143,12.744833097562177,13.194160427569201,13.640225428479912
CO,Aug,0.7203937389363175,1.8983038633551494,3.0538741747402818,26.250532478179007,26.543165103410825,26.842672337720714
CO,Dec,0.09228294864279465,1.5941468316578593,3.0584932742145843,1.3279562324183682,1.7576728658125786,2.212655947921776
CO,Feb,-1.5627992023328934,0.34721021753295694,2.3200111599942246,3.0860863285463638,3.5627580856975345,4.060596255578322
CO,Jan,0.31031057169948933,1.8025753004870368,3.421728009868026,1.2761664172060874,1.7240428025998105,2.2100116968268426
CO,Jul,1.4291188624732512,2.210598453598178,3.0035232755315335,27.52461456782164,27.824458072830115,28.128603411067942
CO,Jun,1.8887739732733235,3.3086796414795323,4.574067628524257,24.848510821723487,25.295310929319,25.75554204295458
CO,Mar,0.18702460963772818,2.158547534111297,3.8532489046035225,8.028939099669211,8.46957128694707,8.907231657876396
CO,May,-1.3304055451755208,0.4366183499029857,2.331473058130232,18.086567349996773,18.62605754072444,19.127793737381943
CO,Nov,2.0821379665157633,4.206742103651563,5.84699842905606,6.819768152930966,7.309558388202886,7.82625204900228
CO,Oct,0.18113389970733557,1.957496604575777,3.559754072147391,14.731745667259112,15.1586383213582,15.588331709648072
CO,Sep,2.7609421268226,3.8576226430865113,4.868165129137566,22.356568490348025,22.65163144646188,22.9447329057047
CT,Apr,-0.49090863690918535,0.7637493692512012,2.333608100600591,12.947869027874237,13.326824863708673,13.664014269920001
CT,Aug,1.5014068784997994,2.4398222558872336,3.337274313631835,26.433149278282325,26.71636897663142,27.019480789397093
CT,Dec,0.11422385693315062,2.1492114275000405,4.6016034490714315,3.476007686289338,4.053517403086035,4.616261057172426
CT,Feb,-0.959162331099292,1.4929864277088334,3.5200649772594454,1.9054356766061877,2.4723266560256576,3.027327425967424
CT,Jan,0.3700373702718254,2.3221888943108855,4.1546599169569145,0.5031044830639329,1.042450357378823,1.5804572883817787
CT,Jul,0.36140954864618097,1.691433015192572,2.9057079328677657,27.137113313357492,27.477740463105647,27.779793782394446
CT,Jun,-0.07616645866026697,1.04592184348361,2.0729904254264526,23.931568659517385,24.190541490442712,24.471574673274183
CT,Mar,-0.47828018882573303,1.5639606031425366,3.571848447989709,6.404082674574718,6.865798300235623,7.396372449053949
CT,May,-0.7337151436219458,0.45032852576041005,1.9672872916776556,18.92404610443909,19.322679161134342,19.740633485906272
CT,Nov,-0.30856605360299405,1.3594371346551928,2.8918528019958285,9.6299883527304,10.076741070718054,10.494098198037973
CT,Oct,0.43650030468903783,1.633474013259054,3.138315496672745,16.1405498366376,16.45021316878665,16.78528855918982
CT,Sep,1.6175252213518063,2.489804247744809,3.3436503617817097,22.52882596039337,22.85095941490971,23.16633018276956
DE,Apr,0.5139804252669873,1.8357264551742853,3.2938559711540205,17.00223552498443,17.30577275706601,17.590260507225636
DE,Aug,0.6800561277424347,1.644502521944756,2.676196782003538,28.4767172439694,28.751855880809938,29.022628207052882
DE,Dec,-0.3633916914901735,2.107393969159882,4.749028699684951,7.306857212668048,7.958416499605775,8.566152340199892
DE,Feb,-0.6822429944377008,1.726176481780137,3.8504604246353717,6.22159853788289,6.830308506454108,7.448625454297964
DE,Jan,0.4514906014014072,2.380356213941356,4.150465063503453,4.678157371391157,5.22562506824854,5.810353694371307
DE,Jul,0.16713127838425468,1.246539507126121,2.223908096443782,29.443936996963274,29.72443480102485,30.044008542062585
DE,Jun,0.06689456634334941,0.98982240241659,1.94343253756195,26.918029123909527,27.194388470615273,27.444886944604992
