Region,Month,Pooled_Intercept,Intercept_SE,Pooled_Slope,Slope_SE,Slope_p
AK,Apr,-5.5320197332239225,0.31485330211256396,4.020081232490123,1.3686825519046828,0.0033120070536982738
AK,Aug,9.604821857898772,0.16488153231187447,1.2317619134556275,0.4972131141172938,0.013236874242733343
AK,Dec,-16.16487210739575,0.42455972465748554,1.3592073401041596,1.8356896132188754,0.45903658335455244
AK,Feb,-16.13596612441084,0.5330071531427308,3.448355767804268,2.0858197965740968,0.09828251174930736
AK,Jan,-17.983280390143722,0.5834086739707769,1.4094565251104336,2.4338930087754194,0.5625247262071773
AK,Jul,11.960068401086486,0.1397063885205702,0.8315444822595704,0.5160795355373131,0.10712046055781643
AK,Jun,9.901332271197926,0.14085785629553454,1.6428212958790027,0.4560199817596634,0.00031514663612730587
AK,Mar,-13.249832826183729,0.40087099644371704,0.8529475045934705,1.766412200158901,0.629188025853741
AK,May,3.2093194811422405,0.24268598890063486,3.6678688345567645,0.7796539747627534,2.5451012857224953e-06
AK,Nov,-13.243085932227467,0.42281607912571595,3.6836652247580677,1.3621640929775127,0.006845377423527532
AK,Oct,-4.581853193340295,0.28691778635900883,6.059339442373423,0.9354335405365848,9.320944016621979e-11
AK,Sep,4.185645869787135,0.2265771566262846,2.6015373670112556,0.896044725491148,0.0036918600042370464
AL,Apr,17.206739756324026,0.20975769736603755,1.6002422140846744,0.6786369366936441,0.01837250290598269
AL,Aug,26.657693396480397,0.15775867355736256,1.0358525378589756,0.46798638406894,0.026868391680652692
AL,Dec,8.607640131626805,0.3414084879924882,2.675542285212039,1.563919375618847,0.08711933640898817
AL,Feb,9.261461684133446,0.2972340856656869,1.5704080422818643,1.3173353469985816,0.23321829448967257
AL,Jan,7.047095217634076,0.318423000031118,2.102055584894128,1.2522510734439372,0.09322583216958491
AL,Jul,27.016461146153016,0.13898154987016487,0.6924964692697807,0.5189045928032494,0.1820285031650164
AL,Jun,25.65124551675991,0.15085634027525904,1.2199380997444713,0.5086488615129011,0.01646734320196175
AL,Mar,13.230415510748575,0.2540286090622168,2.1317359979393675,0.9717189536325583,0.02825134834248022
AL,May,21.874960065297877,0.15934183446449496,1.3287311727727413,0.6305192695691643,0.03508637444091067
AL,Nov,12.512516332869179,0.26467464740885394,0.24000998861750344,1.1417707386203404,0.8335048949430002
AL,Oct,18.129841101668884,0.21680245756871339,2.068586054482016,0.9838013105121481,0.03549671109527619
AL,Sep,23.879144147144245,0.16153003411876898,2.179430672807751,0.7163228165478748,0.0023460168113635937
AR,Apr,16.01128481398437,0.25125996474867374,0.8567615738566574,0.887695520727535,0.33446842150267786
AR,Aug,27.170230748258515,0.2427176175211377,0.3761930570952114,0.8359661634400801,0.652703295704256
AR,Dec,5.596792998166271,0.34860247541422307,2.7354850847073204,1.586779049214889,0.08472172345653162
AR,Feb,6.2962580279848055,0.3600339446358053,0.4536694903155521,1.5433366597298839,0.7687932985412793
AR,Jan,4.05796220539851,0.28579697791474,2.4957972240920188,1.1139528554891722,0.025059304441274577
AR,Jul,27.601839431755565,0.19443731285853516,0.573071729855973,0.7080632299541204,0.4183132407357961
AR,Jun,25.387504832797596,0.174228892330356,1.6840456947206768,0.6622994954113108,0.010999165908588182
AR,Mar,11.191318838545012,0.2754531865412579,1.6463005851799235,0.9508946480840675,0.08339514433555051
AR,May,20.813873960775467,0.19384664308378444,0.8125419783047112,0.6959732220930269,0.24301242767994924
AR,Nov,10.48044076989424,0.26665578686023195,1.0395726012875401,1.0421376365565385,0.3185031090047874
AR,Oct,16.803338505315335,0.18175814211469454,1.286323510402171,0.7654132143704457,0.0928482384277558
AR,Sep,23.25229402193598,0.19307173896444785,2.4592744309772554,0.744592671355599,0.0009570916043422084
AZ,Apr,15.283144809886336,0.2602868154426397,1.3298418517566666,0.8486809925727193,0.11712605680297772
AZ,Aug,26.821099352880832,0.14838329415853393,1.717415483214218,0.665268927139768,0.009836181845535252
AZ,Dec,5.59830730868238,0.22930151105448415,1.390809635637402,0.6643623956329747,0.03630897905339814
AZ,Feb,7.651528717363119,0.23495480434406021,0.9829416464745252,0.9212212476772893,0.2859725343501478
AZ,Jan,5.7265580320384375,0.22681036937346255,1.220192396511389,0.8033356607523406,0.12878583219790052
AZ,Jul,27.89070476508132,0.12504552186632215,2.0700085831785655,0.4754189844176865,1.3363166297519768e-05
AZ,Jun,26.00101301437401,0.19936894263497845,2.6101880206800008,0.6440074362641507,5.0556313483829385e-05
AZ,Mar,11.102606457576117,0.2450900612903355,2.0147266139546685,0.8312121196240286,0.015357297242255541
AZ,May,20.212974947286327,0.27187727844466,0.408710517632449,1.1360022048623626,0.7190118948731234
AZ,Nov,10.466486210120094,0.25284359302967774,3.3028786921461086,0.944048804761269,0.0004676527791271923
AZ,Oct,17.163006741766065,0.21699573824484866,2.1585064936508433,0.8236581319926843,0.008776643408015872
AZ,Sep,23.65147484474318,0.15648711417118158,2.2318290870914823,0.6726211665362761,0.0009062971765709804
CA,Apr,12.366735688454472,0.23496695925293581,0.8607075589436078,0.8662354403007069,0.320408633998873
CA,Aug,24.090368940958665,0.13012166947506826,2.0367150243759107,0.4952194589912814,3.9096962443085914e-05
CA,Dec,5.851983410376897,0.1801877360631684,0.9016727195076087,0.5855460976293511,0.12358877622104125
CA,Feb,7.38239917066647,0.22017700483238842,1.0606249698682975,0.9255972034714244,0.2518440715909056
CA,Jan,6.148160380166874,0.21563703291634695,1.7635739370880552,0.8164352573671568,0.030765674380940133
CA,Jul,24.51999410064608,0.16458053823121832,2.426827843560872,0.6832868947615496,0.0003827557116959923
CA,Jun,21.002080952009717,0.2418591174909668,2.10223397924083,0.7848041631036913,0.007391446603936647
CA,Mar,9.556697438045049,0.24266741997297392,1.0720517580656557,0.9089177631699447,0.238206467798884
CA,May,16.38516319097923,0.27031787419214237,0.15177319407845147,0.8277715777130056,0.8545221961822871
CA,Nov,9.714199593722194,0.22122825649505137,2.1935539698010054,0.8372552203570268,0.008794661622869349
CA,Oct,15.78248312633896,0.22964686642725257,1.5548130713088335,0.883273062799971,0.07835935266135241
CA,Sep,21.141523938466687,0.16914596159959783,2.3732407079142663,0.8311205942755582,0.004297305476455904
CO,Apr,5.954795874487599,0.23951688913287225,1.0278618164281506,0.8032067468844322,0.20065147829678276
CO,Aug,19.416835220920543,0.14213181916191428,1.4379552041415053,0.6043595993780825,0.017345365228466747
CO,Dec,-4.160886773424463,0.23316086627587712,1.2285901820420728,0.8565271405307469,0.15146225944713065
CO,Feb,-2.768337756216928,0.255637890487319,0.13969482191004828,1.039459500527383,0.893092774133164
CO,Jan,-4.3495570548973825,0.22951035983941184,1.638092037287461,0.8109394109669134,0.04338410036476015
CO,Jul,20.59082616550438,0.1301262050868524,2.1347588441721426,0.42065896688403975,3.879099950143683e-07
CO,Jun,17.577839985415476,0.22711527400143128,2.8481806597706636,0.6964498446312308,4.321729119238782e-05
CO,Mar,1.6891891361660123,0.22864911627608064,1.591454559650017,0.8748958150884177,0.06890810437822203
CO,May,11.259370367200496,0.2170048444183127,0.2233719621679085,0.8479968739030885,0.7922335790012713
CO,Nov,0.798623335167353,0.26543007180626693,3.225135044777271,1.1106108162590833,0.003685116260886856
CO,Oct,7.75664786912103,0.20820477687191966,1.4638503768345783,1.002941679062466,0.14441191137077736
CO,Sep,15.054650387545378,0.16742805611234687,3.481345470644559,0.6164301125602994,1.6271122893485312e-08
CT,Apr,8.10974976400272,0.17425142608377173,0.8833188660359282,0.7279588066475805,0.22496976080244036
CT,Aug,21.782257286803382,0.1468430633365798,2.5178149138848838,0.5325680809764881,2.2709247469165916e-06
CT,Dec,0.1792444744360583,0.3621632810558186,2.3378040669460525,1.389088036027867,0.09237942532885879
CT,Feb,-1.8558589562328522,0.3311192358808538,1.3685950414169228,1.3998322584994345,0.328230128754198
CT,Jan,-3.073639365451074,0.3501048061182619,2.668306933421565,1.154430460187007,0.02081285676643363
CT,Jul,22.523644538657784,0.18101380134193462,1.9026180228728422,0.6130793662721998,0.001913240393641935
CT,Jun,19.12674163704186,0.14285469289301933,1.1182988696076965,0.5228162632370649,0.03243646111360077
CT,Mar,2.0900226476500237,0.26253436312229045,1.3533447867804411,1.0815052382871015,0.21080572947337384
CT,May,14.019050836084634,0.1901825954731112,0.7194137326460284,0.665791876009533,0.2799024670411314
CT,Nov,5.554264006637753,0.22468710033348807,0.9836594029344379,0.8486725968015675,0.24643319721257018
CT,Oct,11.393169294434552,0.18257451103867542,2.5250118110179627,0.7434187992095125,0.0006825695926910846
CT,Sep,17.76531715332144,0.12589824944203984,2.561630349947313,0.44916261834437965,1.1763097385042443e-08
DE,Apr,12.13992300644083,0.18611392542931351,1.6934562203877443,0.7877851025812422,0.031583515687358954
DE,Aug,24.62385740171619,0.13888118273812305,2.044547118789639,0.5010395706475206,4.491765202963016e-05
DE,Dec,3.922051581942449,0.36073682309148514,2.096303518529067,1.367236428951087,0.1252163831676132
DE,Feb,2.518358718860024,0.3169206978282726,1.678880843468161,1.1971323526376718,0.1607902410312736
DE,Jan,1.2191139393572752,0.3290287570165285,2.388592017241584,1.2422371487452002,0.05450330842765094
DE,Jul,25.60447080765959,0.14774613646812595,1.5283195505735307,0.4642523528359462,0.0009947699835783919
DE,Jun,22.701148492060373,0.13388989183479352,1.4809148240387429,0.4962475690394081,0.002842968385376121
DE,Mar,6.467320205451457,0.2604798460466983,2.0821872451875865,1.011063848731858,0.03945571281040117
DE,May,17.55054828209163,0.21937944237762635,1.2732798884665895,0.7690535657262891,0.09779367941013062
DE,Nov,8.865225223450732,0.2418525475732841,0.4503350323673188,0.9317309558113777,0.6288602919906299
DE,Oct,14.71677713465071,0.1974687286160792,2.395761137545095,0.8492217643030272,0.004785548356160518
DE,Sep,21.04510628306552,0.1345100392494081,2.18367231609079,0.489612675834591,8.195982330594376e-06
FL,Apr,21.316709865483507,0.16836730304969535,2.3404886042510706,0.5795348601117547,5.377942822759607e-05
FL,Aug,27.314500949178807,0.070210468581397,1.1521087721172276,0.21340457989915293,6.712293898480937e-08
FL,Dec,16.05856426914155,0.2918547494880738,2.25536915148715,1.1848828580245196,0.05698142564272257
FL,Feb,16.166469330221734,0.27202203262878016,1.4966285970312416,1.0579128361928694,0.15715666635316006
FL,Jan,14.531461255479671,0.2988886559308819,0.9011904145044021,1.0058658326786643,0.3702874746460254
FL,Jul,27.423929154705853,0.07754836785268751,0.8848615877501488,0.29605437493624015,0.0028003121345869797
FL,Jun,26.825767012238426,0.10200080685181728,0.926659174278931,0.33321717326042166,0.005420064720176532
FL,Mar,18.48209236992039,0.2451266804200286,1.7831266479187988,0.9019763336293428,0.048051727284722956
FL,May,24.740004627904455,0.11340336141351033,1.2730144587846526,0.38422053376174375,0.0009222213514856747
FL,Nov,18.959279546274857,0.2118627011305214,0.3508170579680827,0.9356200281343082,0.7076926220601056
FL,Oct,22.908165696236196,0.15105803769148582,1.6535008104061746,0.647588994304822,0.010670194457792936
FL,Sep,26.10329482436851,0.07497490763542862,1.1985750714542314,0.26742874787110654,7.399934907503791e-06
GA,Apr,17.456265707466788,0.20059450741423387,1.777041488871993,0.6933168745027798,0.010374172930886383
GA,Aug,26.477715205097905,0.14074914079875078,1.2294312436195083,0.4309108084489615,0.00432951164606421
GA,Dec,9.14055300947312,0.3364728253766766,2.7907992854856363,1.4329522603022422,0.051464392852704544
GA,Feb,9.750576162712271,0.29112120875081093,1.6782701162188078,1.2014673340908493,0.16245856512679469
GA,Jan,7.594262043686509,0.3194465393645604,2.197281276023806,1.1579014299546777,0.05774338403875401
GA,Jul,27.036607158638034,0.1458355042392248,0.7944837179968585,0.5942685366633441,0.18125192359857367
GA,Jun,25.6575952742418,0.14462105144479342,1.0127610632857473,0.5402477548710869,0.060844556692467355
GA,Mar,13.455814980852502,0.27005151703842484,2.0229373354208797,0.9598836242423696,0.035075831598273544
GA,May,22.094224412406838,0.15271626506753908,1.4658866329844813,0.6508429551020954,0.024303995003840617
GA,Nov,12.961248102928218,0.2731875230332694,0.08231858279244894,1.2055302012626132,0.9455594558699729
GA,Oct,18.36175450564544,0.21089780514224823,2.1072183883334272,0.982170118107207,0.03191513587759065
GA,Sep,23.75244742888634,0.1478252993675656,1.9294620851228519,0.6346525647713345,0.0023643178453112146
HI,Apr,20.49225808395975,0.06951903800235698,1.1546630278513343,0.2752078856846304,2.721465880872742e-05
HI,Aug,23.0535041469493,0.08791545252385866,0.7619847814135507,0.2919863564699941,0.009063255444503593
HI,Dec,20.52912577329886,0.06362770000376859,0.8440594098471624,0.2774649229793842,0.002349806227009976
HI,Feb,19.762329988435965,0.08909257571959811,0.498343460348689,0.25953204465072555,0.05483749317551534
HI,Jan,19.966020810468063,0.06340676058110473,0.8671923863482388,0.20525035376343367,2.3889094094009522e-05
HI,Jul,22.63684716990374,0.05902675533072679,0.9100078815781417,0.2509293142462749,0.000287232437259366
HI,Jun,22.068957812630863,0.06479069606539221,0.7049828460650779,0.2267135833046909,0.0018735683718091867
HI,Mar,20.01387964185592,0.09816906751986769,0.5806210147566655,0.34575628443044154,0.09309782417330648
HI,May,21.29517030551467,0.0712413109481829,0.9807123390079074,0.26516806929678755,0.00021691525727929317
HI,Nov,21.722020860471236,0.06792527085336585,0.674634811079864,0.25263519027955184,0.007576290064704505
HI,Oct,22.54943051711117,0.08788707174276889,0.7616657191484694,0.2596260192001504,0.003349441791687058
HI,Sep,22.99486064862677,0.08588977281801631,0.7450699299422029,0.32175660514467663,0.020578363497148144
IA,Apr,9.262584365433074,0.28997217732074815,0.6207310783116273,1.214827013455338,0.6093772979560605
IA,Aug,22.34874284410481,0.22483144196448018,1.107874386894544,0.79829434911262,0.1651973866308598
IA,Dec,-4.398012434123408,0.4292265603379058,4.126656492404696,1.7211701921350882,0.01650342949733208
IA,Feb,-4.5218836782101155,0.5097549035276764,-0.9633111196112889,1.970863768029506,0.6250002154549885
IA,Jan,-6.8573807427399895,0.4298190499282273,2.240886253134454,1.7169219582001343,0.19183274219086854
IA,Jul,23.613240440061585,0.2254265912620762,1.0956612107308805,0.7164039349805239,0.12616772200878246
IA,Jun,21.38528624419245,0.1785585345228257,2.484045809804888,0.6984621227632698,0.00037589958686523595
IA,Mar,2.4337545524791095,0.3884158277083083,1.5016428990243609,1.2659085038161613,0.2355363925358389
IA,May,15.825575052359035,0.249619006314973,0.16820909037283394,0.8639611854435507,0.8456315747622103
IA,Nov,2.53885069049495,0.38281580552067773,2.9962598379589824,1.2772052570064047,0.01897864664872473
IA,Oct,10.343133136964294,0.23173400423705082,0.672344602534369,0.9436586274865554,0.47616319443579513
IA,Sep,17.808035737721223,0.19477318907742253,3.2183810643438417,0.7599097986188802,2.2833355214135764e-05
ID,Apr,4.899924757812358,0.2513995658064753,0.40378789716208896,0.9774871000657358,0.679542361355854
ID,Aug,19.655608069281133,0.1931855835263375,2.2288226139706375,0.7690200311592524,0.0037523530138199312
ID,Dec,-5.639489231705475,0.27520946626175397,1.3446779202830856,1.0508253328891433,0.20067184511064307
ID,Feb,-3.6750879606530837,0.30884008282918163,1.059028286622908,1.3656367851145708,0.43805423103853447
ID,Jan,-5.470826326024606,0.29373817104678074,2.110095109289542,1.1585137716723877,0.06854894330477546
ID,Jul,20.243139428003815,0.26923497005454516,3.771928508444501,1.2428345684854116,0.0024058343845603236
ID,Jun,14.936625695699966,0.2774012680565569,1.4832593875646711,1.0725371311451335,0.16668186668887208
ID,Mar,0.9033547984686452,0.23851019358344236,1.1221659851647443,0.9987084858196974,0.261175476249369
ID,May,9.861850791302507,0.23435154892209994,0.31597298134910135,0.8517240390856866,0.7106520807169101
ID,Nov,-0.5716692046844083,0.29909987285234774,2.639805872883409,1.252225480426612,0.0350230768213986
ID,Oct,6.863666127138064,0.27079593746532793,0.7865704556270556,1.2355741531226059,0.5243833424412978
ID,Sep,14.20255826654691,0.22792987013870414,3.4118395556988323,0.9465667478615133,0.00031283114878943863
IL,Apr,11.446336517997297,0.26439530492652136,1.1486154379884637,1.0420738734584698,0.2703573748555361
IL,Aug,23.693829049218103,0.21062960137598055,0.9842335119956446,0.7714552929487053,0.2020212549986269
IL,Dec,-0.6415569715089936,0.4406907785866205,3.412784163874562,1.8497401074148345,0.06503646392139006
IL,Feb,-1.0046883328515732,0.42382092884144723,0.40223570391408603,1.7320972655809725,0.8163635229323076
IL,Jan,-3.1292392531155047,0.3753265735300478,2.7086007119264943,1.4646842551137154,0.06441843537249103
IL,Jul,24.63740461751993,0.22310274186303705,0.5486647537374518,0.6335289453859824,0.3864653304662704
IL,Jun,22.46128168081347,0.1627568703749489,2.0796800474690125,0.6466271048490423,0.001299017021558324
IL,Mar,5.167612229645962,0.35941106931453926,1.893266031520169,1.2897893979130202,0.14213472164968688
IL,May,17.402376834669465,0.2549899077322234,1.01960254414693,0.8956793309612435,0.2549715777351511
IL,Nov,5.551529098381167,0.30480714638988365,1.2058174074629855,1.1750938229150776,0.3048229382639376
IL,Oct,12.571512020534763,0.21789172511483015,1.1383865179238364,0.8802460646729408,0.1959213495389316
IL,Sep,19.508676992323366,0.1754464851430623,2.7155958112971295,0.7225154491319277,0.00017091471843544426
IN,Apr,11.048637818622963,0.23453922966599902,1.3788900085030031,0.9755566804292369,0.15752664018441287
IN,Aug,23.178939402185026,0.19913148653485507,1.3691660389046874,0.7153489112110482,0.05562225939869658
IN,Dec,-0.07002743393777788,0.4371075949674934,3.019849728061545,1.8226866274955373,0.09755741785748384
IN,Feb,-0.7213820015486626,0.4028499011120884,0.7440626691183618,1.6564751088454188,0.6532986873870734
IN,Jan,-2.622236220398755,0.37664627093985525,2.8598793986465134,1.3502798793415036,0.03417590725902375
IN,Jul,23.954423388829344,0.21050925050942013,0.8147985313162439,0.5708529016602043,0.1534832533076924
IN,Jun,21.8333370293651,0.15676234244984513,2.008846758907361,0.5951768855964779,0.0007375948160046608
IN,Mar,4.838135074038935,0.32591081909620784,2.1168297057430228,1.2785198149080403,0.09778505189706888
IN,May,16.951713400972448,0.2682312036283605,1.4406961319856018,0.9890613594966933,0.14521863017004066
IN,Nov,5.771210646891767,0.2999770108980402,0.6127364010559396,1.2073253521023064,0.6117931221278934
IN,Oct,12.423816824022541,0.24125426652495352,1.5997343244804092,0.9336078410786639,0.08662112715779502
IN,Sep,19.267431749607272,0.1704249944425123,2.6085055136569526,0.6553444579103459,6.88115782958576e-05
KS,Apr,12.452760684529599,0.27218586120062066,0.739348674057752,1.0081288795305623,0.4633223898343968
