Region,Month,Pooled_Intercept,Intercept_SE,Pooled_Slope,Slope_SE,Slope_p
OH,Jul,28.4529498629653,0.212042438145944,0.8564827248934099,0.6813371510953088,0.8331677187278403
OH,Jun,26.291843081901256,0.18400235658901054,1.2758821269747047,0.6992058884706936,0.6931639948672634
OH,Mar,9.482534982833204,0.37093494443334046,2.3023598620572185,1.4187117028022165,0.3586253167893336
OH,May,21.707160591584593,0.300647498826971,1.226937309664883,1.0691034551507737,0.8318973332018049
OH,Nov,10.548487517240574,0.3463026636759881,1.3009801911837318,1.3083876429473928,0.8180614609473571
OH,Oct,17.71613743777003,0.21410521675739386,1.534204764577365,1.0098020835117616,0.5967920798873991
OH,Sep,24.624125691934,0.21407735754795829,2.7076598072672695,0.7529308412662131,0.02332818192546804
OK,Apr,22.0852884784071,0.24702193134101644,0.832557557582163,0.8753889252610579,0.8483079756889389
OK,Aug,33.57358551147556,0.3045800052177203,-0.08643370246267816,1.010693491661292,0.2824021055979582
OK,Dec,9.661698824085331,0.34255165620617,3.0993935351109374,1.3120828710848496,0.10958828006053145
OK,Feb,11.471794585063362,0.4289079983695124,0.24045152641567824,1.7034696963848814,0.6556816376759718
OK,Jan,8.86070127643993,0.3068347711643033,2.443472463441046,1.1411289266359548,0.20588880353063566
OK,Jul,33.76826404588205,0.29105426666820755,0.6880604364327698,0.831441085165579,0.7075270530241902
OK,Jun,30.91317167672006,0.27226482564989274,2.5758022396953217,0.9268542525134364,0.08910048620906852
OK,Mar,17.19553641232202,0.3011179269525018,1.9832132095684163,1.02997594954836,0.3397809169448256
OK,May,26.281263143322466,0.2505281472010482,0.511254193735977,0.9369237127607389,0.6019143768974973
OK,Nov,15.59765584321725,0.31777455768838814,3.1019506026453456,1.066904964886171,0.04882249361794444
OK,Oct,22.793981740253322,0.23655769079867625,1.362043299185243,0.9537416368563129,0.7042400458956128
OK,Sep,29.29428278481537,0.2484758309364013,2.546519420421522,0.9890209566412232,0.11789104281293628
OR,Apr,12.909672934115502,0.3134572547460123,0.8065281548853377,1.2902625658184785,0.8808059140523055
OR,Aug,27.291173450785298,0.1735213846488145,2.939987875927266,0.728126558855162,0.0077136037561533755
OR,Dec,2.9566213532424155,0.23307910432600892,0.7023125354968472,0.9870407068600217,0.7629601074672481
OR,Feb,5.702529418346679,0.3138260021644093,1.343265067651856,1.4978140776328694,0.8187310728075041
OR,Jan,3.5484149617467833,0.26319837372318783,1.9491736979072674,1.2420073693550353,0.444732875309668
OR,Jul,27.373961287449934,0.2764651943530398,3.941439180826681,1.3115519997742013,0.02491510831921606
OR,Jun,21.92101818611053,0.2900865428471536,2.05620732878802,1.1349294851296565,0.3520413877305908
OR,Mar,9.284717548402607,0.2987878378656805,0.8940279859490378,1.14522825466253,0.9262741517149082
OR,May,17.43386382322608,0.28394309024948006,0.7383127474350204,1.0078121039595904,0.7951269977757183
OR,Nov,7.5797881703205086,0.2690240042209909,2.5974003146385214,1.1846095511180212,0.17751001064894822
OR,Oct,15.924839275490474,0.30842536179602864,0.7845802002944652,1.3585634423510469,0.874012077044932
OR,Sep,23.04039159377473,0.2923054743022558,2.8551454642816307,1.2898309306310511,0.15035298972066347
PA,Apr,14.385181978057563,0.24129693342608494,1.2337154683303262,1.0275209022084548,0.8200694261610997
PA,Aug,26.69995686552398,0.20606237651041423,2.119607719509471,0.7382518889742259,0.12937629324694355
PA,Dec,2.972371381260138,0.38464928337974635,2.083650826156898,1.5994860248487244,0.49808914904257406
PA,Feb,2.147615848213705,0.3696720892635981,1.3183196754313011,1.579693740554407,0.8403019937240421
PA,Jan,0.3194485071232506,0.3713792334439002,2.511568509471733,1.2598557723221786,0.23021901180890403
PA,Jul,27.377881410264916,0.2130198689568413,1.881016363675324,0.7348156636422715,0.23054255988261185
PA,Jun,24.721986941027332,0.18316918468622032,1.2761083712184955,0.5885466764537758,0.6389725039638228
PA,Mar,7.52507305257649,0.36406553778059053,2.49463085084242,1.4925308830051394,0.31663008874540943
PA,May,20.21373487071977,0.2803578038331143,1.2103439941376928,1.0527567264623974,0.8416346238339241
PA,Nov,9.21500084420861,0.3296559848487269,1.5837572302879566,1.2074995922138476,0.6287812198543108
PA,Oct,16.109520415291865,0.24220571120401765,1.731154821744234,0.9955759509747077,0.46270263468960415
PA,Sep,22.81778847285961,0.20773591379755,2.8894581105178356,0.677976789447011,0.005321378449432146
RI,Apr,10.642247338921537,0.15429214077099268,0.9382664854837911,0.5924962774025226,0.9170167917944596
RI,Aug,24.22750004620294,0.14774350424043234,2.5808563921704115,0.4572154584605908,0.0005450620356717284
RI,Dec,6.125286887286149,0.3168891280702008,1.931833586741751,1.248894413124211,0.45559082391550865
RI,Feb,3.350008109520263,0.2729051979044272,1.3697266632571692,1.001987142892831,0.7121326288768557
RI,Jan,3.015517410507651,0.2814594955190456,1.959256389526758,0.8710600250231807,0.27078709811883805
RI,Jul,24.06885710991696,0.17723824852595332,1.9094856561748565,0.47289906393038306,0.054453297658391575
RI,Jun,20.74825698864877,0.15608799400660017,0.8703841187799104,0.48385479653511976,0.7887903234313678
RI,Mar,6.050513982422639,0.21251543241146637,1.3195162665951143,0.8917509609753945,0.7201172260799289
RI,May,15.621915354662004,0.1868403368656886,0.7568287817726771,0.48106660990590394,0.6132193071722323
RI,Nov,11.097649534269564,0.20708186418039842,1.3160710846750976,0.7366992915716248,0.6678964657560249
RI,Oct,16.25484327036021,0.15688718270102417,2.0482908887122804,0.5659817579893304,0.06400231411086543
RI,Sep,21.199882192341033,0.12169648159553807,2.3182947538439187,0.39880894813224865,0.0009478015199317902
SC,Apr,22.895543731784006,0.22582746037676557,1.6679470486164258,0.8750164268927039,0.4452524697197786
SC,Aug,31.184715960487637,0.2130673888561965,1.3227688991239561,0.6128104781496844,0.598400099231662
SC,Dec,13.759913645417358,0.3689518106398896,3.007980369907223,1.5297824465840106,0.1893204295729869
SC,Feb,14.277254271365745,0.3056113345881472,1.7217601226285169,1.2897965245914023,0.5757576010725329
SC,Jan,12.026530255886303,0.29811448039804506,2.6961339276800222,1.076680998566158,0.11517899634933726
SC,Jul,32.10896648423106,0.24011219622449456,0.6782756060906252,0.8259182732007673,0.6968801388647781
SC,Jun,30.694787585684963,0.23065880289998766,0.7612170514245347,0.7872926012737901,0.7616640505604222
