Region,Month,Pooled_Intercept,Intercept_SE,Pooled_Slope,Slope_SE,Slope_p
AK,Apr,-1.7645283775809535,0.2767931142090704,3.846151329672279,1.147857246635285,0.0008060097122495335
AK,Aug,13.202270219872553,0.18491893392115066,1.0381920510685372,0.5949309716818486,0.08097389595823046
AK,Dec,-13.580134135214296,0.4307691914992794,1.336173196989218,1.6686375489136174,0.4232723372428209
AK,Feb,-12.611036334078086,0.4756114916121086,3.2677490999404006,2.0869111715679,0.11738831096397306
AK,Jan,-15.15877827477956,0.5876150025339992,1.2892185984327342,2.347031809182661,0.5828013339646885
AK,Jul,15.575989939044632,0.17446041618879654,0.6753504285830843,0.600906972539671,0.2610617479494495
AK,Jun,13.618283838916126,0.15292073055135158,1.677639314333664,0.5862632406212618,0.00421534763532283
AK,Mar,-8.81925164618945,0.39324212088328103,0.9374835057266989,1.5355153940937272,0.5415084944392894
AK,May,6.70747346648015,0.24730970076958184,3.9170905689664943,0.7893406384843213,6.959717424592782e-07
AK,Nov,-10.560406864387714,0.38448765603896834,3.5121312218271568,1.2307693833525615,0.004322606860981404
AK,Oct,-1.5295174990679627,0.2699134545414006,5.625112806237898,0.8667671248790929,8.597167422408347e-11
AK,Sep,7.709035460877918,0.22520820142314785,2.4840999860383395,0.892418579421431,0.0053766042336387265
AL,Apr,23.281145461056717,0.21438694927689803,1.4599259372443794,0.7599894264544876,0.05473398860758172
AL,Aug,32.26159919328193,0.21738624590954866,0.6367123523121861,0.6626283832650048,0.3366079611690873
AL,Dec,13.995621453340148,0.32470574661181884,2.7516982429228243,1.4482539629912665,0.057431695812139916
AL,Feb,14.8242826717965,0.3125339256669945,1.6394070760600001,1.338895873729588,0.2207836370242071
AL,Jan,12.369219499476698,0.305702359273994,2.080703307679382,1.193920877712958,0.08137763055769409
AL,Jul,32.320501600654076,0.19830824248743192,0.3931419387434416,0.7133740824016558,0.5815637014613797
AL,Jun,31.125607663964605,0.19616787632917895,0.8713458692379648,0.7460794363868328,0.24284726880909746
AL,Mar,19.206460243476826,0.26923835360483195,1.8674657229216314,0.8735766338176985,0.03253915165084598
AL,May,27.449943918920987,0.17059411217247117,1.0631760148364668,0.6074079005451493,0.080058052763889
AL,Nov,18.695058311658656,0.26293410794179395,1.12154412886319,1.0724913906216247,0.2956823891405751
AL,Oct,24.5274770852479,0.21690548503560644,2.1158809636022595,0.826978654476404,0.01051043199823054
AL,Sep,29.72662193879709,0.2254606112985151,2.15654629383644,0.8610899033582601,0.01226460912356142
AR,Apr,21.866637446684077,0.22111355933611143,0.6845923053823756,0.7851088122671517,0.38322406684590904
AR,Aug,32.902459518466685,0.2939448023894475,-0.3975907863669454,0.9591915346596608,0.6785034668773566
AR,Dec,10.726760245392857,0.36923653928487016,3.1808953757718195,1.4286163572048518,0.025976913036376503
AR,Feb,11.707218013412808,0.38685206643529363,0.29656959807049027,1.6863956892490395,0.8604039066002054
AR,Jan,9.182525358495015,0.3315461673872156,2.4822266240847184,1.0947248497514084,0.023363153430962624
AR,Jul,32.91879810874262,0.26720039827920705,0.09447773807619689,0.8764755741785211,0.9141600708479416
AR,Jun,30.658513197972194,0.20772552898304744,1.533858153191172,0.7831428948552567,0.05016047581305472
AR,Mar,17.050211989889956,0.2837362742042151,1.2665465146080537,0.9951139853746913,0.20310135061991685
AR,May,26.112646213894838,0.20518596381175866,0.5346865351334779,0.7306717466089948,0.4643065640395134
AR,Nov,16.130663976449988,0.30441439265508535,1.913774786488693,1.1722927213733365,0.10257295617753437
AR,Oct,22.958623043020125,0.2134350978000955,1.3921550364379913,0.9095334201525737,0.12586197834716328
AR,Sep,29.188044991939744,0.2791959891174225,2.1425841948195417,0.9175170712898707,0.01953307018869821
AZ,Apr,22.77022986412767,0.2864187115200153,1.4182658952293519,1.0132792100006676,0.16160938708917305
AZ,Aug,33.01103955158493,0.19443864341682826,1.9491016061266109,0.8591916398186219,0.023296951311399416
AZ,Dec,11.758866612983802,0.23664005995873166,1.2510297829992076,0.8778919144724358,0.1541460704207962
AZ,Feb,14.386112961660391,0.30734629646090145,1.1517026243008452,1.2343721995150627,0.3508060137242863
AZ,Jan,12.116053190342017,0.2817359379193788,1.3871901585322852,1.0509572678711667,0.1868583483297055
AZ,Jul,34.29562004874596,0.15625363264481143,1.7621403098577346,0.6014826564342852,0.0033933192234201215
AZ,Jun,33.53317696265587,0.21790854717974437,2.512457732538228,0.738886012973287,0.0006730408718418346
AZ,Mar,18.34445197033719,0.29494495733340287,2.1337713036091035,1.0292866504373077,0.03816684788315028
AZ,May,27.60912635970115,0.29492903259908826,0.37949602099592594,1.1781414222837983,0.747366220143153
AZ,Nov,17.139960429553618,0.2799764655342345,3.7281774337040443,1.0606466308199538,0.00043974692162440654
AZ,Oct,24.252292014504704,0.24633386202351257,2.3715860449163584,1.0448701148143933,0.02322321472716027
AZ,Sep,30.391688346130593,0.1686899785678051,2.2674032998713956,0.7755003912390254,0.0034579363594808843
